This	May 14, 1961	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE AGONY AND THE ECSTASY, by Irving Stone.	1	7
""			
2	THE LAST OF THE JUST, by Andre Schwarz-Bart.	2	26
""			
3	A BURNT-OUT CASE, by Graham Greene.	3	12
""			
4	HAWAII, by James Michener.	5	78
""			
5	TO KILL A MOCKINGBIRD, by Harper Lee.	4	41
""			
6	MIDCENTURY, by John Dos Passos.	6	9
""			
7	CHINA COURT, by Rumer Godden.	7	8
""			
8	WINNIE ILLE PU, by A.A. Milnei.	10	12
""			
9	DON'T TELL ALFRED, by Nancy Mitford.	9	5
""			
10	ADVISE AND CONSENT, by Allen Drury.	8	92
""			
11	THE CHATEAU, by William Maxwell.	11	5
""			
12	MANILA GALLEON, by F. Van Wyck Mason.	12	8
""			
13	POMP AND CIRCUMSTANCE, by Noel Coward.	14	24
""			
14	THE INCREDIBLE JOURNEY, by Sheila Burnford.	13	2
""			
15	HEAVEN HAS NO FAVORITES, by Erich Maria Remarque.	--	2
""			
16	SOMETHING LIGHT, by Margery Sharp.	--	3
This	May 14, 1961	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	1	28
""			
2	THE NEW ENGLISH BIBLE; New Testament.	2	7
""			
3	RING OF BRIGHT WATER, by Gavin Maxwell.	3	10
""			
4	MY THIRTY YEARS BACKSTAIRS AT THE WHITE HOUSE, by Lilian Rogers	5	8
""	Parks.		
""			
5	FATE IS THE HUNTER, by Ernest K. Gann.	4	13
""			
6	A NATION OF SHEEP, by William J. Lederer.	12	3
""			
7	WHO KILLED SOCIETY? by Cleveland Amory.	6	20
""			
8	MIRROR, MIRROR ON THE WALL, by Gayelord Hauser.	10	5
""			
9	JAPANESE INN, by Oliver Statler.	8	13
""			
10	SKYLINE, by Gene Fowler.	7	13
""			
11	THE WHITE NILE, by Alan Moorehead.	--	15
""			
12	REALITY IN ADVERTISING, by Rosser Reeves.	14	2
""			
13	THE FROG POND, by Joyce MacIver.	9	6
""			
14	PROFILES IN COURAGE, by John F. Kennedy.	13	103
""			
15	DR. TOM DOOLEY'S THREE GREAT BOOKS, by Dr. Tom Dooley.	--	6
""			
16	THE SIXTH MAN, by Jess Stearn.	11	3
