This	June 19, 1966	Last	Weeks
Week	Fiction	Week	On List
""			
1	VALLEY OF THE DOLLS, by Jacqueline Susann.	1	15
""			
2	THE ADVENTURERS, by Harold Robbins.	2	12
""			
3	THE SOURCE, by James Michener.	3	56
""			
4	THE DOUBLE IMAGE, by Helen MacInnes.	4	21
""			
5	TELL NO MAN, by Adela Rogers St. Johns.	5	14
""			
6	THE EMBEZZLER, by Louis Auchincloss.	6	18
""			
7	THOSE WHO LOVE, by Irving Stone.	7	34
""			
8	TAI-PAN, by James Clavell.	9	2
""			
9	THE COMEDIANS, by Graham Greene.	10	18
""			
10	COLUMBELLA, by Phyllis Whitney.	8	6
This	June 19, 1966	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE LAST BATTLE, by Cornelius Ryan.	1	13
""			
2	PAPA HEMINGWAY: A PERSONAL MEMOIR, by A.E. Hotchner.	3	9
""			
3	IN COLD BLOOD, by Truman Capote.	2	22
""			
4	HOW TO AVOID PROBATE, by Norman F. Dacey.	4	10
""			
5	HUMAN SEXUAL RESPONSE, by William H. Masters and Virginia E. Johnson.	5	6
""			
6	THE LAST HUNDRED DAYS, by John Toland.	8	16
""			
7	GAMES PEOPLE PLAY, by Eric Berne.	6	47
""			
8	UNSAFE AT ANY SPEED, by Ralph Nader.	7	9
""			
9	EARTHLY PARADISE: COLETTE'S AUTOBIOGRAPHY DRAWN FROM HER	--	2
""	LIFETIME WRITINGS, by Robert Phelps.		
""			
10	THE PROUD TOWER, by Barbara W. Tuchman.	9	21
