This	February 21, 1960	Last	Weeks
Week	Fiction	Week	On List
""			
1	HAWAII, by James Michener.	1	14
""			
2	ADVISE AND CONSENT, by Allen Drury.	2	28
""			
3	DEAR AND GLORIOUS PHYSICIAN, by Taylor Caldwell.	3	47
""			
4	POOR NO MORE, by Robert Ruark.	4	15
""			
5	THE DEVIL'S ADVOCATE, by Morrs L. West.	5	21
""			
6	THE WAR LOVER, by John Hersey.	7	18
""			
7	THE CONSTANT IMAGE, by Marcia Davenport.	9	2
""			
8	TWO WEEKS IN ANOTHER TOWN, by Irwin Shaw.	12	3
""			
9	EXODUS, by Leon Uris.	6	72
""			
10	THE UGLY AMERICAN, by William J. Lederer and Eugene Burdick.	10	70
""			
11	THE DARKNESS AND THE DAWN, by Thomas B. Costain.	8	17
""			
12	FUEL FOR THE FLAME, by Alec Waugh.	11	4
""			
13	FALSE SCENT, by Ngaio Marsh.	14	4
""			
14	THE MANSION, by William Faulkner.	13	13
""			
15	GEMINI, by William Kelley.	16	6
""			
16	ENOUGH GOOD MEN, by Charles Mercer.	--	1
This		February 21, 1960	Last	Weeks
Week		Non-Fiction	Week	On List
""				
1	ACT ONE, by Moss Hart.		1	21
""				
2	FOLK MEDICINE, by Deforest Clinton Jarvis.		2	45
""				
3	MAY THIS HOUSE BE SAFE FROM TIGERS, by Alexander King.		3	5
""				
4	THIS IS MY GOD, by Herman Wouk.		4	20
""				
5	MY WICKED, WICKED WAYS, by Errol Flynn.		6	5
""				
6	THE JOY OF MUSIC, by Leonard Bernstein.		7	9
""				
7	THE LONGEST DAY, by Cornelius Ryan.		5	11
""				
8	THE STATUS SEEKERS, by Vance Packard.		8	41
""				
9	THE ARMADA, by Garrett Mattingly.		9	16
""				
10	NO ROOM IN THE ARK, by Alan Moorehead.		--	1
""				
11	THE ELEMENTS OF STYLE, by William Strunk Jr. and E.B. White.		14	30
""				
12	THE UNCERTAIN TRUMPET, by General Maxwell D. Taylor.		10	4
""				
13	HOW I TURNED $1,000 INTO A MILLION IN REAL ESTATE -- IN MY SPARE		12	40
""	TIME, by William Nickerson.			
""				
14	THE FACTS ABOUT NIXON, by William Costello.		11	3
""				
15	FOR 2c PLAIN, by Harry Golden.		16	32
""				
16	CANDIDATES 1960, by Eric Sevareid.		15	9
