This	January 14, 1962	Last	Weeks
Week	Fiction	Week	On List
""			
1	FRANNY AND ZOOEY, by J.D. Salinger.	1	17
""			
2	THE AGONY AND THE ECSTASY, by Irving Stone.	2	42
""			
3	TO KILL A MOCKINGBIRD, by Harper Lee.	3	76
""			
4	LITTLE ME, by Patrick Dennis.	4	11
""			
5	SPIRIT LAKE, by MacKinlay Kantor.	5	13
""			
6	DAUGHTER OF SILENCE, by Morris L. West.	8	6
""			
7	A PROLOGUE TO LOVE, by Taylor Caldwell.	7	7
""			
8	CHAIRMAN OF THE BORED, by Edward Streeter.	6	15
""			
9	THE CARPETBAGGERS, by Harold Robbins.	9	29
""			
10	THE JUDAS TREE, by A.J. Cronin.	10	10
""			
11	THE INCREDIBLE JOURNEY, by Sheila Burnford.	11	31
""			
12	THE IVY TREE, by Mary Stewart.	--	1
""			
13	MILA 18, by Leon Uris.	15	31
""			
14	I MET A LADY, by Howard Spring.	--	4
""			
15	GOD MUST BE SAD, by Fannie Hurst.	--	1
""			
16	ASSEMBLY, by John O'Hara.	--	1
This	January 14, 1962	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE MAKING OF THE PRESIDENT 1960, by Theodore H. White.	1	27
""			
2	MY LIFE IN COURT, by Louis Nizer.	2	7
""			
3	LIVING FREE, by Joy Adamson.	3	11
""			
4	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	4	63
""			
5	A NATION OF SHEEP, by William J. Lederer.	5	38
""			
6	THE NEW ENGLISH BIBLE; New Testament.	6	42
""			
7	THE COMING FURY, by Bruce Catton.	8	9
""			
8	CITIZEN HEARST, by W.A. Swanberg.	7	17
""			
9	CALORIES DON'T COUNT, by Herman Taller.	12	6
""			
10	I SHOULD HAVE KISSED HER MORE, by Alexander King.	9	13
""			
11	RING OF BRIGHT WATER, by Gavin Maxwell.	--	44
""			
12	MY SABER IS BENT, by Jack Paar.	10	3
""			
13	PICASSO'S PICASSOS, by David Douglas Duncan.	--	2
""			
14	BEFORE I SLEEP, by James Monahan.	16	2
""			
15	LAROUSSE GASTRONOMIQUE, by Prosper Montagne.	11	9
""			
16	PT 109, by Robert J. Donovan.	--	3
