This	October 1, 1961	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE AGONY AND THE ECSTASY, by Irving Stone.	1	27
""			
2	TO KILL A MOCKINGBIRD, by Harper Lee.	2	61
""			
3	THE CARPETBAGGERS, by Harold Robbins.	4	14
""			
4	MILA 18, by Leon Uris.	3	16
""			
5	THE WINTER OF OUR DISCONTENT, by John Steinbeck.	6	13
""			
6	THE EDGE OF SADNESS, by Edwin O'Connor.	5	15
""			
7	TROPIC OF CANCER, by Henry Miller.	7	14
""			
8	FRANNY AND ZOOEY, by J.D. Salinger.	10	2
""			
9	REMBRANDT, by Gladys Schmitt.	9	11
""			
10	CLOCK WITHOUT HANDS, by Carson McCullers.	8	5
""			
11	THE INCREDIBLE JOURNEY, by Sheila Burnford.	13	18
""			
12	A MAN IN A MIRROR, by Richard Llewellyn.	14	4
""			
13	A JOURNEY TO MATECUMBE, by Robert Lewis Taylor.	16	19
""			
14	THE SMALL ROOM, by May Sarton.	--	1
""			
15	THE HOUSE AT OLD VINE, by Norah Lofts.	--	1
""			
16	MOTHERS AND DAUGHTERS, by Evan Hunter.	11	16
This	October 1, 1961	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE MAKING OF THE PRESIDENT 1960, by Theodore H. White.	1	12
""			
2	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	2	48
""			
3	A NATION OF SHEEP, by William J. Lederer.	3	23
""			
4	INSIDE EUROPE TODAY, by John Gunther.	4	10
""			
5	THE NEW ENGLISH BIBLE; New Testament.	5	27
""			
6	RING OF BRIGHT WATER, by Gavin Maxwell.	6	30
""			
7	RUSSIA AND THE WEST UNDER LENIN AND STALIN, by George F. Kennan.	7	18
""			
8	CITIZEN HEARST, by W.A. Swanberg.	14	2
""			
9	THE SPANISH CIVIL WAR, by Hugh Thomas.	8	9
""			
10	KIDNAP, by George Waller.	11	3
""			
11	THE SHEPPARD MURDER CASE, by Paul Holmes.	9	5
""			
12	LIFE WITH WOMEN AND HOW TO SURVIVE IT, by Joseph H. Peck.	12	16
""			
13	AMERICA -- TOO YOUNG TO DIE!, by Alex P. De Seversky.	--	7
""			
14	NOBODY KNOWS MY NAME, by James Baldwin.	10	6
""			
15	THE AGE OF REASON BEGINS, by Will and Ariel Durant.	15	2
""			
16	FIRSTHAND REPORT, by Sherman Adams.	--	11
