This	December 10, 1961	Last	Weeks
Week	Fiction	Week	On List
""			
1	FRANNY AND ZOOEY, by J.D. Salinger.	1	12
""			
2	THE AGONY AND THE ECSTASY, by Irving Stone.	2	37
""			
3	TO KILL A MOCKINGBIRD, by Harper Lee.	3	71
""			
4	THE CARPETBAGGERS, by Harold Robbins.	4	24
""			
5	SPIRIT LAKE, by MacKinlay Kantor.	5	8
""			
6	LITTLE ME, by Patrick Dennis.	6	6
""			
7	CHAIRMAN OF THE BORED, by Edward Streeter.	7	10
""			
8	CLOCK WITHOUT HANDS, by Carson McCullers.	8	15
""			
9	THE JUDAS TREE, by A.J. Cronin.	10	5
""			
10	A PROLOGUE TO LOVE, by Taylor Caldwell.	14	2
""			
11	DAUGHTER OF SILENCE, by Morris L. West.	--	1
""			
12	THE WINTER OF OUR DISCONTENT, by John Steinbeck.	--	22
""			
13	MILA 18, by Leon Uris.	9	26
""			
14	THE INCREDIBLE JOURNEY, by Sheila Burnford.	--	26
""			
15	TROPIC OF CANCER, by Henry Miller.	11	24
""			
16	THE WHITE RAJAH, by Nicholas Monsarrat.	12	8
This	December 10, 1961	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE MAKING OF THE PRESIDENT 1960, by Theodore H. White.	1	22
""			
2	A NATION OF SHEEP, by William J. Lederer.	2	33
""			
3	LIVING FREE, by Joy Adamson.	3	6
""			
4	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	4	58
""			
5	CITIZEN HEARST, by W.A. Swanberg.	5	12
""			
6	THE NEW ENGLISH BIBLE; New Testament.	6	37
""			
7	MY LIFE IN COURT, by Louis Nizer.	13	2
""			
8	I SHOULD HAVE KISSED HER MORE, by Alexander King.	7	8
""			
9	THE COMING FURY, by Bruce Catton.	9	4
""			
10	INSIDE EUROPE TODAY, by John Gunther.	8	20
""			
11	RING OF BRIGHT WATER, by Gavin Maxwell.	10	40
""			
12	LAROUSSE GASTRONOMIQUE, by Prosper Montagne.	15	4
""			
13	BUT NOT IN SHAME, by John Toland.	--	1
""			
14	PROMISE AT DAWN, by Romain Gary.	11	6
""			
15	SINCLAIR LEWIS: AN AMERICAN LIFE, by Mark Schorer.	16	7
""			
16	THE AGE OF REASON BEGINS, by Will and Ariel Durant.	12	12
