This	August 4, 1963	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE SHOES OF THE FISHERMAN, by Morrs L. West.	1	9
""			
2	ELIZABETH APPLETON, by John O'Hara.	2	9
""			
3	THE GLASS BLOWERS, by Daphne du Maurier	3	18
""			
4	CITY OF NIGHT, by John Rechy.	4	5
""			
5	GRANDMOTHER AND THE PRIESTS, by Taylor Caldwell.	5	18
""			
6	SEVEN DAYS IN MAY, by Fletcher Knebel and Charles W. Bailey II.	6	45
""			
7	RAISE HIGH THE ROOF BEAM, CARPENTERS, by J.D. Salinger	7	25
""			
8	THE BEDFORD INCIDENT, by Mark Rascovich.	9	12
""			
9	THE SAND PEBBLES, by Richard McKenna.	8	29
""			
10	STACY TOWER, by Robert H.K. Walter.	--	4
This	August 4, 1963	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE FIRE NEXT TIME, by James Baldwin	1	23
""			
2	I OWE RUSSIA $1200, by Bob Hope.	2	10
""			
3	THE WHOLE TRUTH AND NOTHING BUT, by Hedda Hopper.	3	22
""			
4	TERRIBLE SWIFT SWORD, by Bruce Catton.	4	7
""			
5	MY DARLING CLEMENTINE, by Jack Fishman.	8	4
""			
6	TRAVELS WITH CHARLEY, by John Steinbeck.	7	52
""			
7	THE DAY THEY SHOOK THE PLUM TREE, by Arthur H. Lewis.	5	9
""			
8	HAPPINESS IS A WARM PUPPY, by Charles M. Schulz.	6	33
""			
9	PORTRAIT OF MYSELF, by Margaret Bourke-White.	9	2
""			
10	THE GREAT HUNGER, by Cecil Woodham-Smith.	10	15
