This	July 10, 1960	Last	Weeks
Week	Fiction	Week	On List
""			
1	ADVISE AND CONSENT, by Allen Drury.	1	48
""			
2	THE LEOPARD, by Guiseppe di Lampedusa.	3	9
""			
3	HAWAII, by James Michener.	2	34
""			
4	THE CHAPMAN REPORT, by Irving Wallace.	4	6
""			
5	THE CONSTANT IMAGE, by Marcia Davenport.	5	22
""			
6	THE AFFAIR, by C.P. Snow.	6	7
""			
7	THE VIEW FROM THE FORTIETH FLOOR, by Theodore H. White.	10	5
""			
8	WATER OF LIFE, by Henry Morton Robinson.	14	2
""			
9	THE LINCOLN LORDS, by Cameron Hawley.	9	17
""			
10	TRUSTEE FROM THE TOOLROOM, by Nevil Shute.	7	14
""			
11	SET THIS HOUSE ON FIRE, by William Styron.	8	3
""			
12	THE LOVELY AMBITION, by Mary Ellen Chase.	13	2
""			
13	A DISTANT TRUMPET, by Paul Horgan.	11	10
""			
14	CLEA, by Lawrence Durrell.	--	13
""			
15	MY BROTHER MICHAEL, by Mary Stewart.	--	9
""			
16	THE INTERNS, by Richard Frede.	--	3
This	July 10, 1960	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MAY THIS HOUSE BE SAFE FROM TIGERS, by Alexander King.	1	25
""			
2	I KID YOU NOT, by Jack Paar.	3	12
""			
3	FOLK MEDICINE, by Deforest Clinton Jarvis.	2	65
""			
4	BORN FREE, by Joy Adamson.	4	9
""			
5	THE NIGHT THEY BURNED THE MOUNTAIN, by Thomas A. Dooley.	5	10
""			
6	THE ENEMY WITHIN, by Robert F. Kennedy.	7	17
""			
7	THE GOOD YEARS, by Walter Lord.	12	2
""			
8	MR. CITIZEN, by Harry S. Truman.	9	2
""			
9	THE LAW AND THE PROFITS, by C. Northcote Parkinson.	6	17
""			
10	FELIX FRANKFURTER REMINISCES, by Felix Frankfurter.	8	3
""			
11	HOW I MADE $2,000,000 IN THE STOCK MARKET, by Nicolas Darvas.	10	2
""			
12	GRANT MOVES SOUTH, by Bruce Catton.	--	19
""			
13	HOLLYWOOD RAJAH, by Bosley Crowther.	--	12
""			
14	THE CONSCIENCE OF A CONSERVATIVE, by Barry Goldwater.	--	2
""			
15	ACT ONE, by Moss Hart.	--	40
""			
16	BASEBALL IS A FUNNY GAME, by Joe Garagiola.	--	1
