This	November 5, 1961	Last	Weeks
Week	Fiction	Week	On List
""			
1	FRANNY AND ZOOEY, by J.D. Salinger.	1	7
""			
2	THE AGONY AND THE ECSTASY, by Irving Stone.	2	32
""			
3	TO KILL A MOCKINGBIRD, by Harper Lee.	3	66
""			
4	THE CARPETBAGGERS, by Harold Robbins.	4	19
""			
5	MILA 18, by Leon Uris.	5	21
""			
6	TROPIC OF CANCER, by Henry Miller.	9	19
""			
7	THE EDGE OF SADNESS, by Edwin O'Connor.	6	20
""			
8	CLOCK WITHOUT HANDS, by Carson McCullers.	7	10
""			
9	THE WHITE RAJAH, by Nicholas Monsarrat.	12	3
""			
10	THE WINTER OF OUR DISCONTENT, by John Steinbeck.	8	18
""			
11	THE INCREDIBLE JOURNEY, by Sheila Burnford.	10	23
""			
12	CHAIRMAN OF THE BORED, by Edward Streeter.	11	5
""			
13	REMBRANDT, by Gladys Schmitt.	15	16
""			
14	THE HOUSE AT OLD VINE, by Norah Lofts.	13	6
""			
15	SPIRIT LAKE, by MacKinlay Kantor.	16	3
""			
16	LITTLE ME, by Patrick Dennis.	--	1
This	November 5, 1961	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE MAKING OF THE PRESIDENT 1960, by Theodore H. White.	1	17
""			
2	A NATION OF SHEEP, by William J. Lederer.	2	28
""			
3	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	3	53
""			
4	INSIDE EUROPE TODAY, by John Gunther.	4	15
""			
5	CITIZEN HEARST, by W.A. Swanberg.	5	7
""			
6	THE NEW ENGLISH BIBLE; New Testament.	6	32
""			
7	LIVING FREE, by Joy Adamson.	--	1
""			
8	RING OF BRIGHT WATER, by Gavin Maxwell.	7	35
""			
9	I SHOULD HAVE KISSED HER MORE, by Alexander King.	15	3
""			
10	KIDNAP, by George Waller.	9	8
""			
11	THE SHEPPARD MURDER CASE, by Paul Holmes.	11	10
""			
12	THE AGE OF REASON BEGINS, by Will and Ariel Durant.	8	7
""			
13	PROMISE AT DAWN, by Romain Gary.	--	1
""			
14	A MATTER OF LIFE AND DEATH, by Virgilia Peterson.	12	5
""			
15	SINCLAIR LEWIS: AN AMERICAN LIFE, by Mark Schorer.	13	2
""			
16	RUSSIA AND THE WEST UNDER LENIN AND STALIN, by George F. Kennan.	10	23
