This	February 26, 1961	Last	Weeks
Week	Fiction	Week	On List
""			
1	HAWAII, by James Michener.	1	67
""			
2	ADVISE AND CONSENT, by Allen Drury.	2	81
""			
3	THE LAST OF THE JUST, by Andre Schwarz-Bart.	3	15
""			
4	TO KILL A MOCKINGBIRD, by Harper Lee.	5	30
""			
5	SERMONS AND SODA WATER, by John O'Hara.	4	11
""			
6	DECISION AT DELPHI, by Helen MacInnes.	6	16
""			
7	THE CHESS PLAYERS, by Frances Parkinson Keyes.	9	7
""			
8	THE DEAN'S WATCH, by Elizabeth Goudge.	7	20
""			
9	POMP AND CIRCUMSTANCE, by Noel Coward.	8	13
""			
10	A SENSE OF VALUES, by Sloan Wilson.	10	6
""			
11	THE LISTENER, by Taylor Caldwell.	11	21
""			
12	VALHALLA, by Jere Peacock.	--	1
""			
13	MISTRESS OF MELLYN, by Victoria Holt.	13	23
""			
14	THE LOVELY AMBITION, by Mary Ellen Chase.	12	35
""			
15	THE NYLON PIRATES, by Nicholas Monsarrat.	--	15
""			
16	A BURNT-OUT CASE, by Graham Greene.	--	1
This	February 26, 1961	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	1	17
""			
2	WHO KILLED SOCIETY? by Cleveland Amory.	2	9
""			
3	THE WASTE MAKERS, by Vance Packard.	3	22
""			
4	THE SNAKE HAS ALL THE LINES, by Jean Kerr.	4	15
""			
5	THE WHITE NILE, by Alan Moorehead.	7	5
""			
6	BORN FREE, by Joy Adamson.	5	42
""			
7	JAPANESE INN, by Oliver Statler.	15	2
""			
8	SHADOWS ON THE GRASS, by Isak Dinesen.	13	5
""			
9	FATE IS THE HUNTER, by Ernest K. Gann.	9	2
""			
10	SKYLINE, by Gene Fowler.	16	2
""			
11	PROFILES IN COURAGE, by John F. Kennedy.	8	92
""			
12	THE AMERICAN HERITAGE PICTURE HISTORY OF THE CIVIL WAR, by	6	16
""	Bruce Catton.		
""			
13	STAY YOUNG AND VITAL, by Bob Cummings.	--	1
""			
14	EAT WELL AND STAY WELL, by Ancel and Margaret Keys.	--	8
""			
15	BARUCH: THE PUBLIC YEARS, by Bernard M Baruch.	10	18
""			
16	TAKEN AT THE FLOOD, by John Gunther.	--	23
