This	October 21,1962	Last	Weeks
Week	Fiction	Week	On List
""			
1	SHIP OF FOOLS, by Katherine Anne Porter.	1	28
""			
2	A SHADE OF DIFFERENCE, by Allen Drury.	3	3
""			
3	SEVEN DAYS IN MAY, by Fletcher Knebel and Charles W. Bailey II.	2	5
""			
4	DEARLY BELOVED, by Anne Morrow Lindbergh.	5	19
""			
5	THE PRIZE, by Irving Wallace.	4	18
""			
6	YOUNGBLOOD HAWKE, by Herman Wouk.	6	22
""			
7	THE THIN RED LINE, by James Jones.	8	4
""			
8	THE REIVERS, by William Faulkner.	7	18
""			
9	ANOTHER COUNTRY, by James Baldwin.	9	16
""			
10	ACT OF ANGER, by Bart Spicer.	11	8
""			
11	UHURU, by Robert Ruark.	10	18
""			
12	MAGNIFICENT DESTINY, by Paul I. Wellman.	13	9
""			
13	THE AGONY AND THE ECSTASY, by Irving Stone.	15	82
""			
14	HORNBLOWER AND THE HOTSPUR, by C.S. Forester.	14	8
""			
15	GABRIELA, CLOVE AND CINNAMON, by Jorge Amado.	16	2
""			
16	PORTRAIT IN BROWNSTONE, by Louis Auchincloss.	12	13
This	October 21, 1962	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	TRAVELS WITH CHARLEY, by John Steinbeck.	4	11
""			
2	THE ROTHSCHILDS, by Frederic Morton.	1	33
""			
3	SILENT SPRING, by Rachel Carson.	5	3
""			
4	MY LIFE IN COURT, by Louis Nizer.	3	47
""			
5	O YE JIGS & JULEPS!, by Virginia Cary Hudson.	2	22
""			
6	SEX AND THE SINGLE GIRL, by Helen Gurley Brown.	9	17
""			
7	THE GUNS OF AUGUST, by Barbara W. Tuchman.	8	36
""			
8	WHO'S IN CHARGE HERE?, by Gerald C. Gardner.	7	11
""			
9	THE BLUE NILE, by Alan Moorehead.	6	8
""			
10	FINAL VERDICT, by Adela Rogers St. Johns.	11	6
""			
11	WILL ROGERS, by Donald Day.	12	4
""			
12	IN-LAWS AND OUTLAWS, by C. Northcote Parkinson.	13	5
""			
13	MEN AND DECISIONS, by Lewis L. Strauss.	--	12
""			
14	A STUDY OF COMMUNISM, by J. Edgar Hoover.	--	1
""			
15	VEECK -- AS IN WRECK, by Bill Veeck.	10	13
""			
16	LETTERS FROM THE EARTH, by Mark Twain.	--	1
