This	September 2, 1962	Last	Weeks
Week	Fiction	Week	On List
""			
1	SHIP OF FOOLS, by Katherine Anne Porter.	1	21
""			
2	DEARLY BELOVED, by Anne Morrow Lindbergh.	2	12
""			
3	YOUNGBLOOD HAWKE, by Herman Wouk.	3	15
""			
4	THE REIVERS, by William Faulkner.	4	11
""			
5	THE PRIZE, by Irving Wallace.	5	11
""			
6	ANOTHER COUNTRY, by James Baldwin.	7	9
""			
7	UHURU, by Robert Ruark.	6	11
""			
8	PORTRAIT IN BROWNSTONE, by Louis Auchincloss.	8	6
""			
9	THE AGONY AND THE ECSTASY, by Irving Stone.	9	75
""			
10	ACT OF ANGER, by Bart Spicer.	--	1
""			
11	LETTING GO, by Philip Roth.	10	9
""			
12	FRANNY AND ZOOEY, by J.D. Salinger.	11	50
""			
13	HORNBLOWER AND THE HOTSPUR, by C.S. Forester.	--	1
""			
14	THE BIG LAUGH, by John O'Hara.	15	14
""			
15	MAGNIFICENT DESTINY, by Paul I. Wellman.	13	2
""			
16	DEVIL WATER, by Anya Seton.	14	25
This	September 2, 1962	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE ROTHSCHILDS, by Frederic Morton.	1	26
""			
2	MY LIFE IN COURT, by Louis Nizer.	2	40
""			
3	O YE JIGS & JULEPS!, by Virginia Cary Hudson.	3	15
""			
4	ONE MAN'S FREEDOM, by Edward Bennett Williams.	10	9
""			
5	THE GUNS OF AUGUST, by Barbara W. Tuchman.	4	29
""			
6	TRAVELS WITH CHARLEY, by John Steinbeck.	8	4
""			
7	SEX AND THE SINGLE GIRL, by Helen Gurley Brown.	7	10
""			
8	MEN AND DECISIONS, by Lewis L. Strauss.	5	6
""			
9	VEECK -- AS IN WRECK, by Bill Veeck.	9	6
""			
10	WHO'S IN CHARGE HERE?, by Gerald C. Gardner.	15	4
""			
11	IN THE CLEARING, by Robert Frost.	12	21
""			
12	JFK COLORING BOOK, by Jackie Kannon.	6	8
""			
13	CALORIES DON'T COUNT, by Herman Taller.	11	39
""			
14	CONVERSATION WITH STALIN, by Milovan Djilas.	14	14
""			
15	YOU'RE ENTITLE', by Harry Golden.	--	1
""			
16	THE BLUE NILE, by Alan Moorehead.	--	1
