This	December 3, 1961	Last	Weeks
Week	Fiction	Week	On List
""			
1	FRANNY AND ZOOEY, by J.D. Salinger.	1	11
""			
2	THE AGONY AND THE ECSTASY, by Irving Stone.	2	36
""			
3	TO KILL A MOCKINGBIRD, by Harper Lee.	3	70
""			
4	THE CARPETBAGGERS, by Harold Robbins.	4	23
""			
5	SPIRIT LAKE, by MacKinlay Kantor.	5	7
""			
6	LITTLE ME, by Patrick Dennis.	8	5
""			
7	CHAIRMAN OF THE BORED, by Edward Streeter.	6	9
""			
8	CLOCK WITHOUT HANDS, by Carson McCullers.	7	14
""			
9	MILA 18, by Leon Uris.	9	25
""			
10	THE JUDAS TREE, by A.J. Cronin.	11	4
""			
11	TROPIC OF CANCER, by Henry Miller.	10	23
""			
12	THE WHITE RAJAH, by Nicholas Monsarrat.	14	7
""			
13	THE EDGE OF SADNESS, by Edwin O'Connor.	12	24
""			
14	A PROLOGUE TO LOVE, by Taylor Caldwell.	--	1
""			
15	THE PEACEMAKERS, by Marquis William Childs.	16	4
""			
16	A NEW LIFE, by Bernard Malamud.	--	1
This	December 3, 1961	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE MAKING OF THE PRESIDENT 1960, by Theodore H. White.	1	21
""			
2	A NATION OF SHEEP, by William J. Lederer.	2	32
""			
3	LIVING FREE, by Joy Adamson.	4	5
""			
4	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	3	57
""			
5	CITIZEN HEARST, by W.A. Swanberg.	5	11
""			
6	THE NEW ENGLISH BIBLE; New Testament.	7	36
""			
7	I SHOULD HAVE KISSED HER MORE, by Alexander King.	8	7
""			
8	INSIDE EUROPE TODAY, by John Gunther.	6	19
""			
9	THE COMING FURY, by Bruce Catton.	11	3
""			
10	RING OF BRIGHT WATER, by Gavin Maxwell.	9	39
""			
11	PROMISE AT DAWN, by Romain Gary.	10	5
""			
12	THE AGE OF REASON BEGINS, by Will and Ariel Durant.	12	11
""			
13	MY LIFE IN COURT, by Louis Nizer.	--	1
""			
14	CALORIES DON'T COUNT, by Herman Taller.	--	1
""			
15	LAROUSSE GASTRONOMIQUE, by Prosper Montagne.	16	3
""			
16	SINCLAIR LEWIS: AN AMERICAN LIFE, by Mark Schorer.	15	6
