This	June 17, 1962	Last	Weeks
Week	Fiction	Week	On List
""			
1	SHIP OF FOOLS, by Katherine Anne Porter.	1	10
""			
2	YOUNGBLOOD HAWKE, by Herman Wouk.	2	4
""			
3	THE BULL FROM THE SEA, by Mary Renault.	4	16
""			
4	FRANNY AND ZOOEY, by J.D. Salinger.	3	39
""			
5	THE AGONY AND THE ECSTASY, by Irving Stone.	5	64
""			
6	DEVIL WATER, by Anya Seton.	7	14
""			
7	THE FOX IN THE ATTIC, by Richard Hughes.	6	17
""			
8	THE BIG LAUGH, by John O'Hara.	14	3
""			
9	HORNSTEIN'S BOY, by Robert Traver.	8	9
""			
10	CHAIRMAN OF THE BORED, by Edward Streeter.	16	37
""			
11	A PROLOGUE TO LOVE, by Taylor Caldwell.	9	29
""			
12	DEARLY BELOVED, by Anne Morrow Lindbergh.	--	1
""			
13	TO KILL A MOCKINGBIRD, by Harper Lee.	13	98
""			
14	CAPTAIN NEWMAN, M.D., by Leo Calvin Rosten.	10	21
""			
15	THE SAN FRANCISCANS, by Nigel Busch.	11	2
""			
16	PIGEON FEATHERS, by John Updike.	--	7
This	June 17, 1962	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	CALORIES DON'T COUNT, by Herman Taller.	1	28
""			
2	THE ROTHSCHILDS, by Frederic Morton.	2	15
""			
3	MY LIFE IN COURT, by Louis Nizer.	3	29
""			
4	IN THE CLEARING, by Robert Frost.	5	10
""			
5	THE GUNS OF AUGUST, by Barbara W. Tuchman.	4	18
""			
6	SIX CRISES, by Richard Nixon.	6	11
""			
7	O YE JIGS & JULEPS!, by Virginia Cary Hudson.	12	4
""			
8	SCOTT FITZGERALD, by Andrew Turnbull.	8	12
""			
9	THE NEW ENGLISH BIBLE; New Testament.	9	64
""			
10	THE MAKING OF THE PRESIDENT 1960, by Theodore H. White.	7	49
""			
11	CONVERSATION WITH STALIN, by Milovan Djilas.	11	3
""			
12	CHRISTOPHER OF SAN FRANCISCO, by George Dorsey.	--	1
""			
13	A BRIDGE FOR PASSING, by Pearl S. Buck.	10	8
""			
14	WHY NOT VICTORY?, by Barry M. Goldwater.	16	4
""			
15	MIRROR, MIRROR ON THE WALL, by Gayelord Hauser.	15	35
""			
16	THE LAST PLANTAGENETS, by Thomas B. Costain.	13	18
