This	May 21, 1961	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE AGONY AND THE ECSTASY, by Irving Stone.	1	8
""			
2	TO KILL A MOCKINGBIRD, by Harper Lee.	5	42
""			
3	THE LAST OF THE JUST, by Andre Schwarz-Bart.	2	27
""			
4	A BURNT-OUT CASE, by Graham Greene.	3	13
""			
5	HAWAII, by James Michener.	4	79
""			
6	CHINA COURT, by Rumer Godden.	7	9
""			
7	THE CHATEAU, by William Maxwell.	11	6
""			
8	MIDCENTURY, by John Dos Passos.	6	10
""			
9	DON'T TELL ALFRED, by Nancy Mitford.	9	6
""			
10	ADVISE AND CONSENT, by Allen Drury.	10	93
""			
11	WINNIE ILLE PU, by A.A. Milnei.	8	13
""			
12	MANILA GALLEON, by F. Van Wyck Mason.	12	9
""			
13	THE INCREDIBLE JOURNEY, by Sheila Burnford.	14	3
""			
14	A JOURNEY TO MATECUMBE, by Robert Lewis Taylor.	--	1
""			
15	POMP AND CIRCUMSTANCE, by Noel Coward.	13	25
""			
16	TALES FROM A TROUBLED LAND, by Alan Paton.	--	1
This	May 21, 1961	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	1	29
""			
2	THE NEW ENGLISH BIBLE; New Testament.	2	8
""			
3	RING OF BRIGHT WATER, by Gavin Maxwell.	3	11
""			
4	A NATION OF SHEEP, by William J. Lederer.	6	4
""			
5	MY THIRTY YEARS BACKSTAIRS AT THE WHITE HOUSE, by Lilian Rogers	4	9
""	Parks.		
""			
6	MIRROR, MIRROR ON THE WALL, by Gayelord Hauser.	8	6
""			
7	FATE IS THE HUNTER, by Ernest K. Gann.	5	14
""			
8	JAPANESE INN, by Oliver Statler.	9	14
""			
9	WHO KILLED SOCIETY? by Cleveland Amory.	7	21
""			
10	SKYLINE, by Gene Fowler.	10	14
""			
11	THE FROG POND, by Joyce MacIver.	13	7
""			
12	THE SIXTH MAN, by Jess Stearn.	16	4
""			
13	PROFILES IN COURAGE, by John F. Kennedy.	14	104
""			
14	REALITY IN ADVERTISING, by Rosser Reeves.	12	3
""			
15	THE WAR CALLED PEACE, by Harry and Bonaro Overstreet.	--	1
""			
16	SCIENCE AND GOVERNMENT, by C.P. Snow.	--	1
