This	September 16, 1962	Last	Weeks
Week	Fiction	Week	On List
""			
1	SHIP OF FOOLS, by Katherine Anne Porter.	1	23
""			
2	DEARLY BELOVED, by Anne Morrow Lindbergh.	2	14
""			
3	YOUNGBLOOD HAWKE, by Herman Wouk.	3	17
""			
4	THE REIVERS, by William Faulkner.	5	13
""			
5	THE PRIZE, by Irving Wallace.	4	13
""			
6	ANOTHER COUNTRY, by James Baldwin.	6	11
""			
7	PORTRAIT IN BROWNSTONE, by Louis Auchincloss.	8	8
""			
8	UHURU, by Robert Ruark.	7	13
""			
9	HORNBLOWER AND THE HOTSPUR, by C.S. Forester.	14	3
""			
10	ACT OF ANGER, by Bart Spicer.	11	3
""			
11	THE AGONY AND THE ECSTASY, by Irving Stone.	10	77
""			
12	MAGNIFICENT DESTINY, by Paul I. Wellman.	13	4
""			
13	LETTING GO, by Philip Roth.	8	11
""			
14	BEFORE MY TIME, by Niccolo Tucci.	--	1
""			
15	FRANNY AND ZOOEY, by J.D. Salinger.	12	52
""			
16	THE SOUND OF BOW BELLS, by Jerome Weidman.	16	4
This	September 16, 1962	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE ROTHSCHILDS, by Frederic Morton.	1	28
""			
2	MY LIFE IN COURT, by Louis Nizer.	2	42
""			
3	O YE JIGS & JULEPS!, by Virginia Cary Hudson.	3	17
""			
4	TRAVELS WITH CHARLEY, by John Steinbeck.	5	6
""			
5	WHO'S IN CHARGE HERE?, by Gerald C. Gardner.	7	6
""			
6	SEX AND THE SINGLE GIRL, by Helen Gurley Brown.	9	12
""			
7	THE GUNS OF AUGUST, by Barbara W. Tuchman.	4	31
""			
8	MEN AND DECISIONS, by Lewis L. Strauss.	6	8
""			
9	JFK COLORING BOOK, by Jackie Kannon.	12	10
""			
10	ONE MAN'S FREEDOM, by Edward Bennett Williams.	8	11
""			
11	VEECK -- AS IN WRECK, by Bill Veeck.	10	8
""			
12	THE BLUE NILE, by Alan Moorehead.	15	3
""			
13	A THOUSAND SPRINGS, by Anna Chennault.	13	6
""			
14	IN THE CLEARING, by Robert Frost.	11	23
""			
15	IN-LAWS AND OUTLAWS, by C. Northcote Parkinson.	--	1
""			
16	FINAL VERDICT, by Adela Rogers St. Johns.	--	1
