This		October 2, 1960	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		1	46
""				
2	ADVISE AND CONSENT, by Allen Drury.		2	60
""				
3	THE LEOPARD, by Guiseppe di Lampedusa.		3	21
""				
4	THE CHAPMAN REPORT, by Irving Wallace.		4	18
""				
5	TO KILL A MOCKINGBIRD, by Harper Lee.		5	9
""				
6	THE LOVELY AMBITION, by Mary Ellen Chase.		6	14
""				
7	WATER OF LIFE, by Henry Morton Robinson.		7	14
""				
8	DIAMOND HEAD, by Peter Gilman.		10	12
""				
9	THE AFFAIR, by C.P. Snow.		8	19
""				
10	THE HOUSE OF FIVE TALENTS, by Louis Auchincloss.		--	1
""				
11	MISTRESS OF MELLYN, by Victoria Holt.		15	2
""				
12	THE LAST TEMPTATION OF CHRIST, by Nikos Kazantzakis.		9	4
""				
13	BEFORE YOU GO, by Jerome Weidman.		11	8
""				
14	ALL FALL DOWN, by James Leo Herlihy.		--	2
""				
15	THE VIEW FROM THE FORTIETH FLOOR, by Theodore H. White.		13	17
""				
16	THE SUN IS MY SHADOW, by Robert Wilder.		12	7
This	October 2, 1960	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BORN FREE, by Joy Adamson.	1	21
""			
2	HOW I MADE $2,000,000 IN THE STOCK MARKET, by Nicolas Darvas.	2	14
""			
3	ENJOY, ENJOY!, by Harry Golden.	3	10
""			
4	FOLK MEDICINE, by Deforest Clinton Jarvis.	5	77
""			
5	MAY THIS HOUSE BE SAFE FROM TIGERS, by Alexander King.	4	37
""			
6	FELIX FRANKFURTER REMINISCES, by Felix Frankfurter.	6	15
""			
7	THE LIBERAL HOUR, by John Kenneth Galbraith.	8	5
""			
8	THE CONSCIENCE OF A CONSERVATIVE, by Barry Goldwater.	9	14
""			
9	THE GOOD YEARS, by Walter Lord.	7	14
""			
10	TAKEN AT THE FLOOD, by John Gunther.	11	3
""			
11	I KID YOU NOT, by Jack Paar.	10	24
""			
12	BASEBALL IS A FUNNY GAME, by Joe Garagiola.	13	10
""			
13	THE POLITICS OF UPHEAVAL, by Arthur Schlesinger.	--	1
""			
14	THE LONG SEASON, by Jim Brosnan.	--	1
""			
15	THE WASTE MAKERS, by Vance Packard.	--	1
""			
16	MR. CITIZEN, by Harry S. Truman.	12	13
