This	July 1, 1962	Last	Weeks
Week	Fiction	Week	On List
""			
1	SHIP OF FOOLS, by Katherine Anne Porter.	1	12
""			
2	YOUNGBLOOD HAWKE, by Herman Wouk.	2	6
""			
3	FRANNY AND ZOOEY, by J.D. Salinger.	3	41
""			
4	THE BULL FROM THE SEA, by Mary Renault.	4	18
""			
5	DEARLY BELOVED, by Anne Morrow Lindbergh.	8	3
""			
6	THE AGONY AND THE ECSTASY, by Irving Stone.	6	66
""			
7	THE BIG LAUGH, by John O'Hara.	7	5
""			
8	THE REIVERS, by William Faulkner.	10	2
""			
9	DEVIL WATER, by Anya Seton.	5	16
""			
10	UHURU, by Robert Ruark.	9	2
""			
11	THE PRIZE, by Irving Wallace.	14	2
""			
12	THE FOX IN THE ATTIC, by Richard Hughes.	12	19
""			
13	HORNSTEIN'S BOY, by Robert Traver.	11	11
""			
14	THE GOLDEN RENDEZVOUS, by Alistair MacLean.	--	1
""			
15	THE SAN FRANCISCANS, by Nigel Busch.	--	3
""			
16	ISLAND, by Aldous Huxley.	15	11
This	July 1, 1962	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE ROTHSCHILDS, by Frederic Morton.	1	17
""			
2	CALORIES DON'T COUNT, by Herman Taller.	2	30
""			
3	MY LIFE IN COURT, by Louis Nizer.	3	31
""			
4	IN THE CLEARING, by Robert Frost.	4	12
""			
5	THE GUNS OF AUGUST, by Barbara W. Tuchman.	5	20
""			
6	SIX CRISES, by Richard Nixon.	6	13
""			
7	CONVERSATION WITH STALIN, by Milovan Djilas.	7	5
""			
8	O YE JIGS & JULEPS!, by Virginia Cary Hudson.	9	6
""			
9	THE MAKING OF THE PRESIDENT 1960, by Theodore H. White.	8	51
""			
10	SCOTT FITZGERALD, by Andrew Turnbull.	10	14
""			
11	SEX AND THE SINGLE GIRL, by Helen Gurley Brown.	--	1
""			
12	THE NEW ENGLISH BIBLE; New Testament.	11	66
""			
13	WHY NOT VICTORY?, by Barry M. Goldwater.	14	6
""			
14	THE LAST PLANTAGENETS, by Thomas B. Costain.	--	19
""			
15	O'NEILL, by Arthur and Barbara Gelb.	16	9
""			
16	EVERY FRENCHMAN HAS ONE, by Olivia De Havilland.	13	2
