This		May 15, 1960	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		1	26
""				
2	ADVISE AND CONSENT, by Allen Drury.		2	40
""				
3	THE CONSTANT IMAGE, by Marcia Davenport.		3	14
""				
4	THE LINCOLN LORDS, by Cameron Hawley.		5	9
""				
5	OURSELVES TO KNOW, by John O'Hara.		4	12
""				
6	TRUSTEE FROM THE TOOLROOM, by Nevil Shute.		6	6
""				
7	MRS. 'ARRIS GOES TO NEW YORK, by Paul Gallico.		9	7
""				
8	A DISTANT TRUMPET, by Paul Horgan.		14	2
""				
9	TWO WEEKS IN ANOTHER TOWN, by Irwin Shaw.		8	15
""				
10	CLEA, by Lawrence Durrell.		7	6
""				
11	DEAR AND GLORIOUS PHYSICIAN, by Taylor Caldwell.		11	59
""				
12	MY BROTHER MICHAEL, by Mary Stewart.		10	4
""				
13	THE DEVIL'S ADVOCATE, by Morrs L. West.		12	33
""				
14	SOUTH OF THE ANGELS, by Jessamyn West.		--	1
""				
15	THE LEOPARD, by Guiseppe di Lampedusa.		--	1
""				
16	KISS KISS, by Roald Dahl.		13	12
This	May 15, 1960	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MAY THIS HOUSE BE SAFE FROM TIGERS, by Alexander King.	1	17
""			
2	FOLK MEDICINE, by Deforest Clinton Jarvis.	2	57
""			
3	THE ENEMY WITHIN, by Robert F. Kennedy.	3	9
""			
4	THE LAW AND THE PROFITS, by C. Northcote Parkinson.	4	9
""			
5	I KID YOU NOT, by Jack Paar.	5	4
""			
6	ACT ONE, by Moss Hart.	6	33
""			
7	MY WICKED, WICKED WAYS, by Errol Flynn.	8	17
""			
8	GRANT MOVES SOUTH, by Bruce Catton.	7	12
""			
9	HOLLYWOOD RAJAH, by Bosley Crowther.	10	5
""			
10	BORN FREE, by Joy Adamson.	--	1
""			
11	MEYER BERGER'S NEW YORK, by Meyer Berger.	--	4
""			
12	THE JOY OF MUSIC, by Leonard Bernstein.	9	21
""			
13	THE NIGHT THEY BURNED THE MOUNTAIN, by Thomas A. Dooley.	12	2
""			
14	THE EDGE OF DAY, by Laurie Lee.	--	1
""			
15	PERLE, by Perle Mesta with Robert Cahn.	--	1
""			
16	NEVER TRUST A NAKED BUS DRIVER, by Jack Douglas.	15	3
