This	November 25, 1962	Last	Weeks
Week	Fiction	Week	On List
""			
1	A SHADE OF DIFFERENCE, by Allen Drury.	2	8
""			
2	SEVEN DAYS IN MAY, by Fletcher Knebel and Charles W. Bailey II.	1	10
""			
3	FAIL-SAFE, by Eugene Burdick and Harvey Wheeler.	3	4
""			
4	THE PRIZE, by Irving Wallace.	8	23
""			
5	SHIP OF FOOLS, by Katherine Anne Porter.	4	33
""			
6	WHERE LOVE HAS GONE, by Harold Robbins.	7	4
""			
7	DEARLY BELOVED, by Anne Morrow Lindbergh.	5	24
""			
8	THE THIN RED LINE, by James Jones.	6	9
""			
9	WE HAVE ALWAYS LIVED IN THE CASTLE, by Shirley Jackson.	13	4
""			
10	THE REIVERS, by William Faulkner.	10	23
""			
11	MAGNIFICENT DESTINY, by Paul I. Wellman.	--	13
""			
12	GENIUS, by Patrick Dennis.	12	2
""			
13	ACT OF ANGER, by Bart Spicer.	11	13
""			
14	ANOTHER COUNTRY, by James Baldwin.	9	21
""			
15	UHURU, by Robert Ruark.	15	23
""			
16	THE HOUSE AT SUNSET, by Norah Lofts.	--	1
This	November 25, 1962	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	SILENT SPRING, by Rachel Carson.	1	8
""			
2	TRAVELS WITH CHARLEY, by John Steinbeck.	2	16
""			
3	O YE JIGS & JULEPS!, by Virginia Cary Hudson.	3	27
""			
4	THE ROTHSCHILDS, by Frederic Morton.	4	38
""			
5	MY LIFE IN COURT, by Louis Nizer.	5	52
""			
6	LETTERS FROM THE EARTH, by Mark Twain.	7	6
""			
7	THE POINTS OF MY COMPASS, by E.B. White.	10	2
""			
8	SEX AND THE SINGLE GIRL, by Helen Gurley Brown.	6	22
""			
9	FINAL VERDICT, by Adela Rogers St. Johns.	11	11
""			
10	THE BLUE NILE, by Alan Moorehead.	9	13
""			
11	ELEGANT WITS AND GRAND HORIZONTALS, by Cornelia Otis Skinner.	13	2
""			
12	A STUDY OF COMMUNISM, by J. Edgar Hoover.	8	6
""			
13	THE PYRAMID CLIMBERS, by Vance Packard.	15	2
""			
14	THE GUNS OF AUGUST, by Barbara W. Tuchman.	14	41
""			
15	WHO'S IN CHARGE HERE?, by Gerald C. Gardner.	12	16
""			
16	THE HEARTLAND, by Walter Havighurst.	--	1
