This	January 7, 1962	Last	Weeks
Week	Fiction	Week	On List
""			
1	FRANNY AND ZOOEY, by J.D. Salinger.	1	16
""			
2	THE AGONY AND THE ECSTASY, by Irving Stone.	2	41
""			
3	TO KILL A MOCKINGBIRD, by Harper Lee.	3	75
""			
4	LITTLE ME, by Patrick Dennis.	5	10
""			
5	SPIRIT LAKE, by MacKinlay Kantor.	4	12
""			
6	CHAIRMAN OF THE BORED, by Edward Streeter.	6	14
""			
7	A PROLOGUE TO LOVE, by Taylor Caldwell.	9	6
""			
8	DAUGHTER OF SILENCE, by Morris L. West.	10	5
""			
9	THE CARPETBAGGERS, by Harold Robbins.	7	28
""			
10	THE JUDAS TREE, by A.J. Cronin.	8	9
""			
11	THE INCREDIBLE JOURNEY, by Sheila Burnford.	11	30
""			
12	THE EDGE OF SADNESS, by Edwin O'Connor.	14	27
""			
13	A NEW LIFE, by Bernard Malamud.	15	3
""			
14	CLOCK WITHOUT HANDS, by Carson McCullers.	12	19
""			
15	MILA 18, by Leon Uris.	16	30
""			
16	WILDERNESS, by Robert Penn Warren.	--	1
This	January 7, 1962	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE MAKING OF THE PRESIDENT 1960, by Theodore H. White.	1	26
""			
2	MY LIFE IN COURT, by Louis Nizer.	3	6
""			
3	LIVING FREE, by Joy Adamson.	2	10
""			
4	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	5	62
""			
5	A NATION OF SHEEP, by William J. Lederer.	4	37
""			
6	THE NEW ENGLISH BIBLE; New Testament.	6	41
""			
7	CITIZEN HEARST, by W.A. Swanberg.	7	16
""			
8	THE COMING FURY, by Bruce Catton.	9	8
""			
9	I SHOULD HAVE KISSED HER MORE, by Alexander King.	8	12
""			
10	MY SABER IS BENT, by Jack Paar.	16	2
""			
11	LAROUSSE GASTRONOMIQUE, by Prosper Montagne.	12	8
""			
12	CALORIES DON'T COUNT, by Herman Taller.	10	5
""			
13	SINCLAIR LEWIS: AN AMERICAN LIFE, by Mark Schorer.	15	10
""			
14	RUSSIA AND THE WEST UNDER LENIN AND STALIN, by George F. Kennan.	--	27
""			
15	BUT NOT IN SHAME, by John Toland.	--	2
""			
16	BEFORE I SLEEP, by James Monahan.	--	1
