This	September 10, 1961	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE AGONY AND THE ECSTASY, by Irving Stone.	1	24
""			
2	TO KILL A MOCKINGBIRD, by Harper Lee.	2	58
""			
3	MILA 18, by Leon Uris.	3	13
""			
4	THE EDGE OF SADNESS, by Edwin O'Connor.	4	12
""			
5	THE WINTER OF OUR DISCONTENT, by John Steinbeck.	5	10
""			
6	THE CARPETBAGGERS, by Harold Robbins.	6	11
""			
7	TROPIC OF CANCER, by Henry Miller.	7	11
""			
8	REMBRANDT, by Gladys Schmitt.	8	8
""			
9	THE INCREDIBLE JOURNEY, by Sheila Burnford.	10	15
""			
10	CLOCK WITHOUT HANDS, by Carson McCullers.	15	2
""			
11	HAWAII, by James Michener.	14	94
""			
12	MOTHERS AND DAUGHTERS, by Evan Hunter.	9	13
""			
13	MASTER OF THIS VESSEL, by Gwyn Griffin.	11	2
""			
14	A JOURNEY TO MATECUMBE, by Robert Lewis Taylor.	12	16
""			
15	A MAN IN A MIRROR, by Richard Llewellyn.	--	1
""			
16	THE LAST OF THE JUST, by Andre Schwarz-Bart.	13	43
This	September 10, 1961	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE MAKING OF THE PRESIDENT 1960, by Theodore H. White.	2	9
""			
2	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	1	4
""			
3	A NATION OF SHEEP, by William J. Lederer.	3	20
""			
4	INSIDE EUROPE TODAY, by John Gunther.	4	7
""			
5	THE NEW ENGLISH BIBLE; New Testament.	5	24
""			
6	RING OF BRIGHT WATER, by Gavin Maxwell.	6	27
""			
7	RUSSIA AND THE WEST UNDER LENIN AND STALIN, by George F. Kennan.	7	15
""			
8	THE SPANISH CIVIL WAR, by Hugh Thomas.	13	6
""			
9	THE SHEPPARD MURDER CASE, by Paul Holmes.	14	2
""			
10	NOBODY KNOWS MY NAME, by James Baldwin.	11	3
""			
11	FIRSTHAND REPORT, by Sherman Adams.	9	9
""			
12	LIFE WITH WOMEN AND HOW TO SURVIVE IT, by Joseph H. Peck.	8	13
""			
13	MIRROR, MIRROR ON THE WALL, by Gayelord Hauser.	--	21
""			
14	MY THIRTY YEARS BACKSTAIRS AT THE WHITE HOUSE, by Lilian Rogers	10	25
""	Parks.		
""			
15	AMERICA -- TOO YOUNG TO DIE!, by Alex P. De Seversky.	12	6
""			
16	THESE RUINS ARE INHABITED, by Muriel Beadle.	15	6
