This	December 17, 1961	Last	Weeks
Week	Fiction	Week	On List
""			
1	FRANNY AND ZOOEY, by J.D. Salinger.	1	13
""			
2	THE AGONY AND THE ECSTASY, by Irving Stone.	2	38
""			
3	TO KILL A MOCKINGBIRD, by Harper Lee.	3	72
""			
4	SPIRIT LAKE, by MacKinlay Kantor.	5	9
""			
5	THE CARPETBAGGERS, by Harold Robbins.	4	25
""			
6	CHAIRMAN OF THE BORED, by Edward Streeter.	7	11
""			
7	LITTLE ME, by Patrick Dennis.	6	7
""			
8	DAUGHTER OF SILENCE, by Morris L. West.	11	2
""			
9	THE JUDAS TREE, by A.J. Cronin.	9	6
""			
10	THE INCREDIBLE JOURNEY, by Sheila Burnford.	14	27
""			
11	I MET A LADY, by Howard Spring.	--	1
""			
12	CLOCK WITHOUT HANDS, by Carson McCullers.	8	16
""			
13	A PROLOGUE TO LOVE, by Taylor Caldwell.	10	3
""			
14	MILA 18, by Leon Uris.	13	27
""			
15	THE EDGE OF SADNESS, by Edwin O'Connor.	--	25
""			
16	TROPIC OF CANCER, by Henry Miller.	15	25
This	December 17, 1961	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE MAKING OF THE PRESIDENT 1960, by Theodore H. White.	1	23
""			
2	A NATION OF SHEEP, by William J. Lederer.	2	34
""			
3	LIVING FREE, by Joy Adamson.	3	7
""			
4	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	4	59
""			
5	THE NEW ENGLISH BIBLE; New Testament.	6	38
""			
6	CITIZEN HEARST, by W.A. Swanberg.	5	13
""			
7	MY LIFE IN COURT, by Louis Nizer.	7	3
""			
8	THE COMING FURY, by Bruce Catton.	9	5
""			
9	I SHOULD HAVE KISSED HER MORE, by Alexander King.	8	9
""			
10	RING OF BRIGHT WATER, by Gavin Maxwell.	11	41
""			
11	INSIDE EUROPE TODAY, by John Gunther.	10	21
""			
12	CALORIES DON'T COUNT, by Herman Taller.	--	2
""			
13	THE AGE OF REASON BEGINS, by Will and Ariel Durant.	16	13
""			
14	CARL SANDBURG, by Harry Golden.	--	1
""			
15	LAROUSSE GASTRONOMIQUE, by Prosper Montagne.	12	5
""			
16	SINCLAIR LEWIS: AN AMERICAN LIFE, by Mark Schorer.	15	8
