This	July 3, 1960	Last	Weeks
Week	Fiction	Week	On List
""			
1	ADVISE AND CONSENT, by Allen Drury.	1	47
""			
2	HAWAII, by James Michener.	2	33
""			
3	THE LEOPARD, by Guiseppe di Lampedusa.	3	8
""			
4	THE CHAPMAN REPORT, by Irving Wallace.	4	5
""			
5	THE CONSTANT IMAGE, by Marcia Davenport.	5	21
""			
6	THE AFFAIR, by C.P. Snow.	7	6
""			
7	TRUSTEE FROM THE TOOLROOM, by Nevil Shute.	8	13
""			
8	SET THIS HOUSE ON FIRE, by William Styron.	12	2
""			
9	THE LINCOLN LORDS, by Cameron Hawley.	6	16
""			
10	THE VIEW FROM THE FORTIETH FLOOR, by Theodore H. White.	11	4
""			
11	A DISTANT TRUMPET, by Paul Horgan.	9	9
""			
12	OURSELVES TO KNOW, by John O'Hara.	10	19
""			
13	THE LOVELY AMBITION, by Mary Ellen Chase.	--	1
""			
14	WATER OF LIFE, by Henry Morton Robinson.	--	1
""			
15	MRS. 'ARRIS GOES TO NEW YORK, by Paul Gallico.	14	14
""			
16	DEAR AND GLORIOUS PHYSICIAN, by Taylor Caldwell.	--	63
This	July 3, 1960	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MAY THIS HOUSE BE SAFE FROM TIGERS, by Alexander King.	1	24
""			
2	FOLK MEDICINE, by Deforest Clinton Jarvis.	2	64
""			
3	I KID YOU NOT, by Jack Paar.	3	11
""			
4	BORN FREE, by Joy Adamson.	4	8
""			
5	THE NIGHT THEY BURNED THE MOUNTAIN, by Thomas A. Dooley.	6	9
""			
6	THE LAW AND THE PROFITS, by C. Northcote Parkinson.	5	16
""			
7	THE ENEMY WITHIN, by Robert F. Kennedy.	7	16
""			
8	FELIX FRANKFURTER REMINISCES, by Felix Frankfurter.	10	2
""			
9	MR. CITIZEN, by Harry S. Truman.	--	1
""			
10	HOW I MADE $2,000,000 IN THE STOCK MARKET, by Nicolas Darvas.	--	1
""			
11	DEMPSEY BY THE MAN HIMSELF, by Jack Dempsey, Bob Considine and Bill	--	2
""	Slocum.		
""			
12	THE GOOD YEARS, by Walter Lord.	--	1
""			
13	CARP'S WASHINGTON, by Frank G. Carpenter.	9	6
""			
14	RETURN TO JAPAN, by Elizabeth Gray Vining.	--	4
""			
15	1600 PENNSYLVANIA AVENUE, by Walter Johnson.	--	2
""			
16	PERLE, by Perle Mesta with Robert Cahn.	12	8
