This	July 8, 1962	Last	Weeks
Week	Fiction	Week	On List
""			
1	SHIP OF FOOLS, by Katherine Anne Porter.	1	13
""			
2	YOUNGBLOOD HAWKE, by Herman Wouk.	2	7
""			
3	DEARLY BELOVED, by Anne Morrow Lindbergh.	5	4
""			
4	FRANNY AND ZOOEY, by J.D. Salinger.	3	42
""			
5	THE AGONY AND THE ECSTASY, by Irving Stone.	6	67
""			
6	THE BULL FROM THE SEA, by Mary Renault.	4	19
""			
7	UHURU, by Robert Ruark.	10	3
""			
8	THE PRIZE, by Irving Wallace.	11	3
""			
9	THE BIG LAUGH, by John O'Hara.	7	6
""			
10	THE REIVERS, by William Faulkner.	8	3
""			
11	DEVIL WATER, by Anya Seton.	9	17
""			
12	LETTING GO, by Philip Roth.	--	1
""			
13	CHAIRMAN OF THE BORED, by Edward Streeter.	--	39
""			
14	ANOTHER COUNTRY, by James Baldwin.	--	1
""			
15	PALE FIRE, by Vladimir Nabokov.	--	1
""			
16	THE SAN FRANCISCANS, by Nigel Busch.	15	4
This	July 8, 1962	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE ROTHSCHILDS, by Frederic Morton.	1	18
""			
2	MY LIFE IN COURT, by Louis Nizer.	3	32
""			
3	CALORIES DON'T COUNT, by Herman Taller.	2	31
""			
4	THE GUNS OF AUGUST, by Barbara W. Tuchman.	5	21
""			
5	IN THE CLEARING, by Robert Frost.	4	13
""			
6	CONVERSATION WITH STALIN, by Milovan Djilas.	7	6
""			
7	O YE JIGS & JULEPS!, by Virginia Cary Hudson.	8	7
""			
8	SIX CRISES, by Richard Nixon.	6	14
""			
9	THE NEW ENGLISH BIBLE; New Testament.	12	67
""			
10	SEX AND THE SINGLE GIRL, by Helen Gurley Brown.	11	2
""			
11	WHY NOT VICTORY?, by Barry M. Goldwater.	13	7
""			
12	THE MAKING OF THE PRESIDENT 1960, by Theodore H. White.	9	52
""			
13	SCOTT FITZGERALD, by Andrew Turnbull.	10	15
""			
14	THE DECLINE OF PLEASURE, by Walter Kerr.	--	1
""			
15	ONE MAN'S FREEDOM, by Edward Bennett Williams.	--	1
""			
16	EVERY FRENCHMAN HAS ONE, by Olivia De Havilland.	16	3
