This		April 10, 1960	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		1	21
""				
2	ADVISE AND CONSENT, by Allen Drury.		2	35
""				
3	THE CONSTANT IMAGE, by Marcia Davenport.		3	9
""				
4	OURSELVES TO KNOW, by John O'Hara.		4	7
""				
5	TWO WEEKS IN ANOTHER TOWN, by Irwin Shaw.		5	10
""				
6	THE LINCOLN LORDS, by Cameron Hawley.		7	4
""				
7	THE DEVIL'S ADVOCATE, by Morrs L. West.		6	28
""				
8	DEAR AND GLORIOUS PHYSICIAN, by Taylor Caldwell.		8	54
""				
9	POOR NO MORE, by Robert Ruark.		9	22
""				
10	KISS KISS, by Roald Dahl.		10	7
""				
11	ALL THE DAY LONG, by Howard Spring.		11	4
""				
12	EXODUS, by Leon Uris.		12	79
""				
13	MRS. 'ARRIS GOES TO NEW YORK, by Paul Gallico.		14	2
""				
14	TRUSTEE FROM THE TOOLROOM, by Nevil Shute.		--	1
""				
15	THE UGLY AMERICAN, by William J. Lederer and Eugene Burdick.		13	77
""				
16	CLEA, by Lawrence Durrell.		--	1
This	April 10, 1960	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MAY THIS HOUSE BE SAFE FROM TIGERS, by Alexander King.	1	12
""			
2	FOLK MEDICINE, by Deforest Clinton Jarvis.	2	52
""			
3	ACT ONE, by Moss Hart.	3	28
""			
4	THE ENEMY WITHIN, by Robert F. Kennedy.	5	4
""			
5	MY WICKED, WICKED WAYS, by Errol Flynn.	4	12
""			
6	GRANT MOVES SOUTH, by Bruce Catton.	6	7
""			
7	THE LAW AND THE PROFITS, by C. Northcote Parkinson.	7	4
""			
8	THE JOY OF MUSIC, by Leonard Bernstein.	9	16
""			
9	QUEEN MARY, 1867-1953. By James Pope-Hennessy.	8	6
""			
10	THE LONGEST DAY, by Cornelius Ryan.	11	18
""			
11	THIS IS MY GOD, by Herman Wouk.	10	27
""			
12	THE STATUS SEEKERS, by Vance Packard.	14	48
""			
13	MEYER BERGER'S NEW YORK, by Meyer Berger.	--	1
""			
14	NO ROOM IN THE ARK, by Alan Moorehead.	15	6
""			
15	WAIKIKI BEACHNIK, by Harry Allen Smith.	12	2
""			
16	DIPLOMAT, by Charles Wheeler Thayer.	--	13
