This	May 20, 1962	Last	Weeks
Week	Fiction	Week	On List
""			
1	SHIP OF FOOLS, by Katherine Anne Porter.	1	6
""			
2	FRANNY AND ZOOEY, by J.D. Salinger.	2	35
""			
3	THE BULL FROM THE SEA, by Mary Renault.	3	12
""			
4	THE AGONY AND THE ECSTASY, by Irving Stone.	5	60
""			
5	THE FOX IN THE ATTIC, by Richard Hughes.	4	13
""			
6	DEVIL WATER, by Anya Seton.	6	10
""			
7	ISLAND, by Aldous Huxley.	8	6
""			
8	HORNSTEIN'S BOY, by Robert Traver.	9	5
""			
9	A PROLOGUE TO LOVE, by Taylor Caldwell.	7	25
""			
10	CAPTAIN NEWMAN, M.D., by Leo Calvin Rosten.	11	17
""			
11	CHAIRMAN OF THE BORED, by Edward Streeter.	13	33
""			
12	TO KILL A MOCKINGBIRD, by Harper Lee.	10	94
""			
13	PIGEON FEATHERS, by John Updike.	16	5
""			
14	A LONG AND HAPPY LIFE, by Reynolds Price.	14	3
""			
15	CAPITOL HILL, by Andrew Tully.	--	4
""			
16	THE FORGOTTEN SMILE, by Margaret Kennedy.	--	2
This	May 20, 1962	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	CALORIES DON'T COUNT, by Herman Taller.	1	24
""			
2	THE ROTHSCHILDS, by Frederic Morton.	3	11
""			
3	MY LIFE IN COURT, by Louis Nizer.	2	25
""			
4	SIX CRISES, by Richard Nixon.	5	7
""			
5	THE GUNS OF AUGUST, by Barbara W. Tuchman.	4	14
""			
6	IN THE CLEARING, by Robert Frost.	6	6
""			
7	SCOTT FITZGERALD, by Andrew Turnbull.	8	8
""			
8	THE MAKING OF THE PRESIDENT 1960, by Theodore H. White.	10	45
""			
9	THE LAST PLANTAGENETS, by Thomas B. Costain.	9	14
""			
10	THE NEW ENGLISH BIBLE; New Testament.	7	60
""			
11	A BRIDGE FOR PASSING, by Pearl S. Buck.	13	4
""			
12	O'NEILL, by Arthur and Barbara Gelb.	12	4
""			
13	CIA: THE INSIDE STORY, by Andrew Tully.	14	15
""			
14	GEORGE: AN EARLY AUTOBIOGRAPHY, by Emlyn Williams.	--	1
""			
15	THE RICH NATIONS AND THE POOR NATIONS, by Barbara Ward.	11	5
""			
16	MIRROR, MIRROR ON THE WALL, by Gayelord Hauser.	15	32
