This	October 29, 1961	Last	Weeks
Week	Fiction	Week	On List
""			
1	FRANNY AND ZOOEY, by J.D. Salinger.	2	6
""			
2	THE AGONY AND THE ECSTASY, by Irving Stone.	1	31
""			
3	TO KILL A MOCKINGBIRD, by Harper Lee.	3	65
""			
4	THE CARPETBAGGERS, by Harold Robbins.	4	18
""			
5	MILA 18, by Leon Uris.	5	20
""			
6	THE EDGE OF SADNESS, by Edwin O'Connor.	6	19
""			
7	CLOCK WITHOUT HANDS, by Carson McCullers.	7	9
""			
8	THE WINTER OF OUR DISCONTENT, by John Steinbeck.	9	17
""			
9	TROPIC OF CANCER, by Henry Miller.	8	18
""			
10	THE INCREDIBLE JOURNEY, by Sheila Burnford.	13	22
""			
11	CHAIRMAN OF THE BORED, by Edward Streeter.	12	4
""			
12	THE WHITE RAJAH, by Nicholas Monsarrat.	10	2
""			
13	THE HOUSE AT OLD VINE, by Norah Lofts.	16	5
""			
14	THE MOON AND THE THORN, by B.J. Chute.	--	1
""			
15	REMBRANDT, by Gladys Schmitt.	11	15
""			
16	SPIRIT LAKE, by MacKinlay Kantor.	14	2
This	October 29, 1961	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE MAKING OF THE PRESIDENT 1960, by Theodore H. White.	1	16
""			
2	A NATION OF SHEEP, by William J. Lederer.	2	27
""			
3	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	3	52
""			
4	INSIDE EUROPE TODAY, by John Gunther.	4	14
""			
5	CITIZEN HEARST, by W.A. Swanberg.	5	6
""			
6	THE NEW ENGLISH BIBLE; New Testament.	6	31
""			
7	RING OF BRIGHT WATER, by Gavin Maxwell.	8	34
""			
8	THE AGE OF REASON BEGINS, by Will and Ariel Durant.	9	6
""			
9	KIDNAP, by George Waller.	10	7
""			
10	RUSSIA AND THE WEST UNDER LENIN AND STALIN, by George F. Kennan.	7	22
""			
11	THE SHEPPARD MURDER CASE, by Paul Holmes.	12	9
""			
12	A MATTER OF LIFE AND DEATH, by Virgilia Peterson.	11	4
""			
13	SINCLAIR LEWIS: AN AMERICAN LIFE, by Mark Schorer.	--	1
""			
14	MIRROR, MIRROR ON THE WALL, by Gayelord Hauser.	16	24
""			
15	I SHOULD HAVE KISSED HER MORE, by Alexander King.	15	2
""			
16	THE SPANISH CIVIL WAR, by Hugh Thomas.	13	13
