This		May 29, 1960	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		2	28
""				
2	ADVISE AND CONSENT, by Allen Drury.		1	42
""				
3	THE CONSTANT IMAGE, by Marcia Davenport.		3	16
""				
4	THE LEOPARD, by Guiseppe di Lampedusa.		6	3
""				
5	THE LINCOLN LORDS, by Cameron Hawley.		4	11
""				
6	OURSELVES TO KNOW, by John O'Hara.		5	14
""				
7	TRUSTEE FROM THE TOOLROOM, by Nevil Shute.		7	8
""				
8	CLEA, by Lawrence Durrell.		8	8
""				
9	A DISTANT TRUMPET, by Paul Horgan.		9	4
""				
10	THE AFFAIR, by C.P. Snow.		--	1
""				
11	DEAR AND GLORIOUS PHYSICIAN, by Taylor Caldwell.		10	61
""				
12	MRS. 'ARRIS GOES TO NEW YORK, by Paul Gallico.		14	9
""				
13	SOUTH OF THE ANGELS, by Jessamyn West.		15	3
""				
14	LASSO ROUND THE MOON, by Agnar Mykle.		--	1
""				
15	MY BROTHER MICHAEL, by Mary Stewart.		12	6
""				
16	THE DEVIL'S ADVOCATE, by Morrs L. West.		13	35
This	May 29, 1960	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MAY THIS HOUSE BE SAFE FROM TIGERS, by Alexander King.	1	19
""			
2	FOLK MEDICINE, by Deforest Clinton Jarvis.	2	59
""			
3	I KID YOU NOT, by Jack Paar.	4	6
""			
4	THE ENEMY WITHIN, by Robert F. Kennedy.	3	11
""			
5	THE LAW AND THE PROFITS, by C. Northcote Parkinson.	5	11
""			
6	BORN FREE, by Joy Adamson.	9	3
""			
7	ACT ONE, by Moss Hart.	6	35
""			
8	THE NIGHT THEY BURNED THE MOUNTAIN, by Thomas A. Dooley.	11	4
""			
9	MY WICKED, WICKED WAYS, by Errol Flynn.	8	19
""			
10	HOLLYWOOD RAJAH, by Bosley Crowther.	7	7
""			
11	GRANT MOVES SOUTH, by Bruce Catton.	10	14
""			
12	CARP'S WASHINGTON, by Frank G. Carpenter.	--	1
""			
13	PERLE, by Perle Mesta with Robert Cahn.	--	3
""			
14	THE JOY OF MUSIC, by Leonard Bernstein.	12	23
""			
15	RETURN TO JAPAN, by Elizabeth Gray Vining.	14	2
""			
16	WAIKIKI BEACHNIK, by Harry Allen Smith.	--	7
