This	December 28, 1969	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE GODFATHER, by Mario Puzo.	1	40
""			
2	THE FRENCH LIEUTENANT'S WOMAN, by John Fowles.	3	5
""			
3	THE HOUSE ON THE STRAND, by Daphne du Maurier.	2	12
""			
4	THE INHERITORS, by Harold Robbins.	4	5
""			
5	IN THIS HOUSE OF BREDE, by Rumer Godden.	6	11
""			
6	THE SEVEN MINUTES, by Irving Wallace.	5	10
""			
7	FIRE FROM HEAVEN, by Mary Renault.	10	2
""			
8	PUPPET ON A CHAIN, by Alistair MacLean.	7	3
""			
9	THE ANDROMEDA STRAIN, by Michael Crichton.	8	27
""			
10	THE LOVE MACHINE, by Jacqueline Susann.	--	31
This	December 28, 1969	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE SELLING OF THE PRESIDENT 1968, by Joe McGinniss.	2	10
""			
2	THE PETER PRINCIPLE, by Dr. Laurence J. Peter and Raymond Hull.	1	33
""			
3	PRESENT AT THE CREATION, by Dean Acheson.	3	9
""			
4	THE AMERICAN HERITAGE DICTIONARY OF THE ENGLISH LANGUAGE.	4	12
""			
5	MARY QUEEN OF SCOTS, by Antonia Fraser.	5	3
""			
6	THE COLLAPSE OF THE THIRD REPUBLIC, by William L. Shirer.	9	5
""			
7	AMBASSADOR'S JOURNAL, by John Kenneth Galbraith.	6	7
""			
8	THE GRAHAM KERR COOKBOOK, by Graham Kerr.	10	2
""			
9	PRIME TIME, by Alexander Kendrick.	7	10
""			
10	THE KINGDOM AND THE POWER, by Gay Talese.	--	26
