This		October 9, 1960	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		1	47
""				
2	ADVISE AND CONSENT, by Allen Drury.		2	61
""				
3	THE LEOPARD, by Guiseppe di Lampedusa.		3	22
""				
4	TO KILL A MOCKINGBIRD, by Harper Lee.		5	10
""				
5	THE CHAPMAN REPORT, by Irving Wallace.		4	19
""				
6	THE LOVELY AMBITION, by Mary Ellen Chase.		6	15
""				
7	THE LAST TEMPTATION OF CHRIST, by Nikos Kazantzakis.		12	5
""				
8	WATER OF LIFE, by Henry Morton Robinson.		7	15
""				
9	DIAMOND HEAD, by Peter Gilman.		8	13
""				
10	BEFORE YOU GO, by Jerome Weidman.		13	9
""				
11	THE BLACK BOOK, by Lawrence Durrell.		--	1
""				
12	THE AFFAIR, by C.P. Snow.		9	20
""				
13	MISTRESS OF MELLYN, by Victoria Holt.		11	3
""				
14	AWAY FROM HOME, by Rona Jaffe.		--	4
""				
15	THE LISTENER, by Taylor Caldwell.		--	1
""				
16	THE SUN IS MY SHADOW, by Robert Wilder.		16	8
This	October 9, 1960	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BORN FREE, by Joy Adamson.	1	22
""			
2	HOW I MADE $2,000,000 IN THE STOCK MARKET, by Nicolas Darvas.	2	15
""			
3	FOLK MEDICINE, by Deforest Clinton Jarvis.	4	78
""			
4	ENJOY, ENJOY!, by Harry Golden.	3	11
""			
5	FELIX FRANKFURTER REMINISCES, by Felix Frankfurter.	6	16
""			
6	MAY THIS HOUSE BE SAFE FROM TIGERS, by Alexander King.	5	38
""			
7	THE LIBERAL HOUR, by John Kenneth Galbraith.	7	6
""			
8	THE GOOD YEARS, by Walter Lord.	9	15
""			
9	THE WASTE MAKERS, by Vance Packard.	15	2
""			
10	THE CONSCIENCE OF A CONSERVATIVE, by Barry Goldwater.	8	15
""			
11	THE POLITICS OF UPHEAVAL, by Arthur Schlesinger.	13	2
""			
12	TAKEN AT THE FLOOD, by John Gunther.	10	4
""			
13	I KID YOU NOT, by Jack Paar.	11	25
""			
14	BASEBALL IS A FUNNY GAME, by Joe Garagiola.	12	11
""			
15	THE STRATEGY OF PEACE, by John F. Kennedy.	--	5
""			
16	THOMAS WOLFE, by Elizabeth Nowell.	--	10
