This		April 3, 1960	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		1	20
""				
2	ADVISE AND CONSENT, by Allen Drury.		2	34
""				
3	THE CONSTANT IMAGE, by Marcia Davenport.		3	8
""				
4	OURSELVES TO KNOW, by John O'Hara.		4	6
""				
5	TWO WEEKS IN ANOTHER TOWN, by Irwin Shaw.		5	9
""				
6	THE DEVIL'S ADVOCATE, by Morrs L. West.		6	27
""				
7	THE LINCOLN LORDS, by Cameron Hawley.		9	3
""				
8	DEAR AND GLORIOUS PHYSICIAN, by Taylor Caldwell.		8	53
""				
9	POOR NO MORE, by Robert Ruark.		7	21
""				
10	KISS KISS, by Roald Dahl.		12	6
""				
11	ALL THE DAY LONG, by Howard Spring.		11	3
""				
12	EXODUS, by Leon Uris.		10	78
""				
13	THE UGLY AMERICAN, by William J. Lederer and Eugene Burdick.		14	76
""				
14	MRS. 'ARRIS GOES TO NEW YORK, by Paul Gallico.		--	1
""				
15	FUEL FOR THE FLAME, by Alec Waugh.		15	10
""				
16	A SEPARATE PEACE, by John Knowles.		16	2
This	April 3, 1960	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MAY THIS HOUSE BE SAFE FROM TIGERS, by Alexander King.	1	11
""			
2	FOLK MEDICINE, by Deforest Clinton Jarvis.	2	51
""			
3	ACT ONE, by Moss Hart.	3	27
""			
4	MY WICKED, WICKED WAYS, by Errol Flynn.	4	11
""			
5	THE ENEMY WITHIN, by Robert F. Kennedy.	7	3
""			
6	GRANT MOVES SOUTH, by Bruce Catton.	5	6
""			
7	THE LAW AND THE PROFITS, by C. Northcote Parkinson.	12	3
""			
8	QUEEN MARY, 1867-1953. By James Pope-Hennessy.	9	5
""			
9	THE JOY OF MUSIC, by Leonard Bernstein.	6	15
""			
10	THIS IS MY GOD, by Herman Wouk.	8	26
""			
11	THE LONGEST DAY, by Cornelius Ryan.	10	17
""			
12	WAIKIKI BEACHNIK, by Harry Allen Smith.	--	1
""			
13	FULL CIRCLE, by Anthony Eden.	15	2
""			
14	THE STATUS SEEKERS, by Vance Packard.	11	47
""			
15	NO ROOM IN THE ARK, by Alan Moorehead.	--	5
""			
16	A TIME IN ROME, by Elizabeth Bowen.	--	3
