This		March 20, 1960	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		1	18
""				
2	ADVISE AND CONSENT, by Allen Drury.		2	32
""				
3	TWO WEEKS IN ANOTHER TOWN, by Irwin Shaw.		7	7
""				
4	THE CONSTANT IMAGE, by Marcia Davenport.		3	6
""				
5	OURSELVES TO KNOW, by John O'Hara.		8	4
""				
6	THE DEVIL'S ADVOCATE, by Morrs L. West.		4	25
""				
7	POOR NO MORE, by Robert Ruark.		5	19
""				
8	DEAR AND GLORIOUS PHYSICIAN, by Taylor Caldwell.		6	51
""				
9	THE LINCOLN LORDS, by Cameron Hawley.		--	1
""				
10	THE WAR LOVER, by John Hersey.		9	22
""				
11	ALL THE DAY LONG, by Howard Spring.		--	1
""				
12	KISS KISS, by Roald Dahl.		10	4
""				
13	THE UGLY AMERICAN, by William J. Lederer and Eugene Burdick.		14	74
""				
14	EXODUS, by Leon Uris.		11	76
""				
15	FUEL FOR THE FLAME, by Alec Waugh.		15	8
""				
16	NIGHT WITHOUT END, by Alistair MacLean.		--	1
This	March 20, 1960	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MAY THIS HOUSE BE SAFE FROM TIGERS, by Alexander King.	1	9
""			
2	FOLK MEDICINE, by Deforest Clinton Jarvis.	2	49
""			
3	ACT ONE, by Moss Hart.	3	25
""			
4	MY WICKED, WICKED WAYS, by Errol Flynn.	4	9
""			
5	THE JOY OF MUSIC, by Leonard Bernstein.	9	13
""			
6	GRANT MOVES SOUTH, by Bruce Catton.	7	4
""			
7	THE LONGEST DAY, by Cornelius Ryan.	8	15
""			
8	QUEEN MARY, 1867-1953. By James Pope-Hennessy.	6	3
""			
9	THIS IS MY GOD, by Herman Wouk.	5	24
""			
10	THE STATUS SEEKERS, by Vance Packard.	10	45
""			
11	THE LAW AND THE PROFITS, by C. Northcote Parkinson.	--	1
""			
12	THE ELEMENTS OF STYLE, by William Strunk Jr. and E.B. White.	11	34
""			
13	THE ENEMY WITHIN, by Robert F. Kennedy.	--	1
""			
14	THE UNCERTAIN TRUMPET, by General Maxwell D. Taylor.	13	7
""			
15	A TIME IN ROME, by Elizabeth Bowen.	16	2
""			
16	NO ROOM IN THE ARK, by Alan Moorehead.	14	4
