This	June 5, 1960	Last	Weeks
Week	Fiction	Week	On List
""			
1	ADVISE AND CONSENT, by Allen Drury.	2	43
""			
2	HAWAII, by James Michener.	1	29
""			
3	THE LEOPARD, by Guiseppe di Lampedusa.	4	4
""			
4	THE CONSTANT IMAGE, by Marcia Davenport.	3	17
""			
5	THE LINCOLN LORDS, by Cameron Hawley.	5	12
""			
6	OURSELVES TO KNOW, by John O'Hara.	6	15
""			
7	TRUSTEE FROM THE TOOLROOM, by Nevil Shute.	7	9
""			
8	CLEA, by Lawrence Durrell.	8	9
""			
9	TWO WEEKS IN ANOTHER TOWN, by Irwin Shaw.	--	17
""			
10	A DISTANT TRUMPET, by Paul Horgan.	9	5
""			
11	THE AFFAIR, by C.P. Snow.	10	2
""			
12	MRS. 'ARRIS GOES TO NEW YORK, by Paul Gallico.	12	10
""			
13	MY BROTHER MICHAEL, by Mary Stewart.	15	7
""			
14	SOUTH OF THE ANGELS, by Jessamyn West.	13	4
""			
15	THE CHAPMAN REPORT, by Irving Wallace.	--	1
""			
16	ALL THE DAY LONG, by Howard Spring.	--	10
This	June 5, 1960	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MAY THIS HOUSE BE SAFE FROM TIGERS, by Alexander King.	1	20
""			
2	FOLK MEDICINE, by Deforest Clinton Jarvis.	2	60
""			
3	I KID YOU NOT, by Jack Paar.	3	7
""			
4	THE ENEMY WITHIN, by Robert F. Kennedy.	4	12
""			
5	THE LAW AND THE PROFITS, by C. Northcote Parkinson.	5	12
""			
6	BORN FREE, by Joy Adamson.	6	4
""			
7	THE NIGHT THEY BURNED THE MOUNTAIN, by Thomas A. Dooley.	8	5
""			
8	PERLE, by Perle Mesta with Robert Cahn.	13	4
""			
9	ACT ONE, by Moss Hart.	7	36
""			
10	HOLLYWOOD RAJAH, by Bosley Crowther.	10	8
""			
11	GRANT MOVES SOUTH, by Bruce Catton.	11	15
""			
12	MEYER BERGER'S NEW YORK, by Meyer Berger.	--	6
""			
13	MY WICKED, WICKED WAYS, by Errol Flynn.	9	20
""			
14	CARP'S WASHINGTON, by Frank G. Carpenter.	12	2
""			
15	THE LIFETIME READING PLAN, by Clifton Fadiman.	--	4
""			
16	RETURN TO JAPAN, by Elizabeth Gray Vining.	15	3
