This	April 9, 1961	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE LAST OF THE JUST, by Andre Schwarz-Bart.	1	21
""			
2	HAWAII, by James Michener.	2	73
""			
3	A BURNT-OUT CASE, by Graham Greene.	4	7
""			
4	ADVISE AND CONSENT, by Allen Drury.	3	87
""			
5	TO KILL A MOCKINGBIRD, by Harper Lee.	5	36
""			
6	THE AGONY AND THE ECSTASY, by Irving Stone.	10	2
""			
7	MIDCENTURY, by John Dos Passos.	6	4
""			
8	CHINA COURT, by Rumer Godden.	8	3
""			
9	WINNIE ILLE PU, by A.A. Milnei.	7	7
""			
10	SERMONS AND SODA WATER, by John O'Hara.	9	17
""			
11	DECISION AT DELPHI, by Helen MacInnes.	11	22
""			
12	MANILA GALLEON, by F. Van Wyck Mason.	15	3
""			
13	POMP AND CIRCUMSTANCE, by Noel Coward.	12	19
""			
14	SOMETHING LIGHT, by Margery Sharp.	--	1
""			
15	A SENSE OF VALUES, by Sloan Wilson.	--	10
""			
16	THE CHESS PLAYERS, by Frances Parkinson Keyes.	13	13
This	April 9, 1961	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	1	23
""			
2	THE NEW ENGLISH BIBLE; New Testament.	8	2
""			
3	WHO KILLED SOCIETY? by Cleveland Amory.	2	15
""			
4	FATE IS THE HUNTER, by Ernest K. Gann.	3	8
""			
5	RING OF BRIGHT WATER, by Gavin Maxwell.	6	5
""			
6	THE WASTE MAKERS, by Vance Packard.	4	28
""			
7	JAPANESE INN, by Oliver Statler.	5	8
""			
8	SKYLINE, by Gene Fowler.	7	8
""			
9	MY THIRTY YEARS BACKSTAIRS AT THE WHITE HOUSE, by Lilian Rogers	--	3
""	Parks.		
""			
10	THE WHITE NILE, by Alan Moorehead.	9	11
""			
11	PROFILES IN COURAGE, by John F. Kennedy.	10	98
""			
12	THE SNAKE HAS ALL THE LINES, by Jean Kerr.	11	21
""			
13	RESISTANCE, REBELLION, AND DEATH, by Albert Camus.	13	4
""			
14	DR. TOM DOOLEY'S THREE GREAT BOOKS, by Dr. Tom Dooley.	--	3
""			
15	THE FIFTY-YEAR DECLINE AND FALL OF HOLLYWOOD, by Ezra Goodman.	14	2
""			
16	BORN FREE, by Joy Adamson.	12	48
