This	May 25, 1969	Last	Weeks
Week	Fiction	Week	On List
""			
1	PORTNOY'S COMPLAINT, by Philip Roth.	1	14
""			
2	THE GODFATHER, by Mario Puzo.	2	9
""			
3	THE SALZBURG CONNECTION, by Helen MacInnes.	3	36
""			
4	SLAUGHTERHOUSE FIVE, by Kurt Vonnegut.	6	5
""			
5	EXCEPT FOR ME AND THEE, by Jessamyn West.	4	6
""			
6	AIRPORT, by Arthur Hailey.	5	61
""			
7	ADA, OR ARDOR: A FAMILY CHRONICLE, by Vladimir Nabokov.	--	1
""			
8	THE LOVE MACHINE, by Jacqueline Susann.	--	1
""			
9	THE VINES OF YARRABEE, by Dorothy Eden.	7	11
""			
10	BULLET PARK, by John Cheever.	10	2
This		May 25, 1969	Last	Weeks
Week		Non-Fiction	Week	On List
""				
1	JENNIE, by Ralph G. Martin.		2	10
""				
2	ERNEST HEMINGWAY, by Carlos Baker.		4	4
""				
3	THE 900 DAYS, by Harrison E. Sailsbury.		1	14
""				
4	MISS CRAIG'S 21-DAY SHAPE-UP PROGRAM FOR MEN AND WOMEN, by		5	18
""	Marjorie Craig.			
""				
5	"THE MONEY GAME, by ""Adam Smith""."		3	49
""				
6	THE TROUBLE WITH LAWYERS, by Murray Teigh Bloom.		10	12
""				
7	THE PETER PRINCIPLE, by Dr. Laurence J. Peter and Raymond Hull.		7	2
""				
8	THE ARMS OF KRUPP, by William Manchester.		6	24
""				
9	BETWEEN PARENT & TEENAGER, by Haim G. Ginott.		--	1
""				
10	THE JOYS OF YIDDISH, by Leo Rosten.		--	13
