This		April 24, 1960	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		1	23
""				
2	ADVISE AND CONSENT, by Allen Drury.		2	37
""				
3	THE CONSTANT IMAGE, by Marcia Davenport.		3	11
""				
4	OURSELVES TO KNOW, by John O'Hara.		4	9
""				
5	THE LINCOLN LORDS, by Cameron Hawley.		5	6
""				
6	TWO WEEKS IN ANOTHER TOWN, by Irwin Shaw.		6	12
""				
7	THE DEVIL'S ADVOCATE, by Morrs L. West.		7	30
""				
8	TRUSTEE FROM THE TOOLROOM, by Nevil Shute.		11	3
""				
9	DEAR AND GLORIOUS PHYSICIAN, by Taylor Caldwell.		8	56
""				
10	CLEA, by Lawrence Durrell.		9	3
""				
11	MRS. 'ARRIS GOES TO NEW YORK, by Paul Gallico.		10	4
""				
12	POOR NO MORE, by Robert Ruark.		13	24
""				
13	EXODUS, by Leon Uris.		--	80
""				
14	KISS KISS, by Roald Dahl.		12	9
""				
15	MY BROTHER MICHAEL, by Mary Stewart.		--	1
""				
16	ALL THE DAY LONG, by Howard Spring.		16	6
This	April 24, 1960	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MAY THIS HOUSE BE SAFE FROM TIGERS, by Alexander King.	1	14
""			
2	FOLK MEDICINE, by Deforest Clinton Jarvis.	2	54
""			
3	THE ENEMY WITHIN, by Robert F. Kennedy.	5	6
""			
4	THE LAW AND THE PROFITS, by C. Northcote Parkinson.	7	6
""			
5	ACT ONE, by Moss Hart.	3	30
""			
6	MY WICKED, WICKED WAYS, by Errol Flynn.	6	14
""			
7	GRANT MOVES SOUTH, by Bruce Catton.	4	9
""			
8	THE JOY OF MUSIC, by Leonard Bernstein.	8	18
""			
9	THE LONGEST DAY, by Cornelius Ryan.	10	20
""			
10	HOLLYWOOD RAJAH, by Bosley Crowther.	9	2
""			
11	I KID YOU NOT, by Jack Paar.	--	1
""			
12	WAIKIKI BEACHNIK, by Harry Allen Smith.	12	4
""			
13	THIS IS MY GOD, by Herman Wouk.	13	29
""			
14	QUEEN MARY, 1867-1953. By James Pope-Hennessy.	15	8
""			
15	THE LIFETIME READING PLAN, by Clifton Fadiman.	--	1
""			
16	THE STATUS SEEKERS, by Vance Packard.	11	50
