This	October 15,1961	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE AGONY AND THE ECSTASY, by Irving Stone.	1	29
""			
2	FRANNY AND ZOOEY, by J.D. Salinger.	3	4
""			
3	TO KILL A MOCKINGBIRD, by Harper Lee.	2	63
""			
4	THE CARPETBAGGERS, by Harold Robbins.	4	16
""			
5	MILA 18, by Leon Uris.	5	18
""			
6	TROPIC OF CANCER, by Henry Miller.	8	16
""			
7	THE WINTER OF OUR DISCONTENT, by John Steinbeck.	7	15
""			
8	THE EDGE OF SADNESS, by Edwin O'Connor.	6	17
""			
9	CLOCK WITHOUT HANDS, by Carson McCullers.	9	7
""			
10	THE INCREDIBLE JOURNEY, by Sheila Burnford.	11	20
""			
11	REMBRANDT, by Gladys Schmitt.	10	13
""			
12	CHAIRMAN OF THE BORED, by Edward Streeter.	13	2
""			
13	THE SMALL ROOM, by May Sarton.	16	3
""			
14	THE HOUSE AT OLD VINE, by Norah Lofts.	12	3
""			
15	A JOURNEY TO MATECUMBE, by Robert Lewis Taylor.	14	21
""			
16	THE SEA 'VENTURE, by F. Van Wyck Mason.	--	1
This	October 15, 1961	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE MAKING OF THE PRESIDENT 1960, by Theodore H. White.	1	14
""			
2	A NATION OF SHEEP, by William J. Lederer.	2	25
""			
3	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	3	50
""			
4	INSIDE EUROPE TODAY, by John Gunther.	4	12
""			
5	THE NEW ENGLISH BIBLE; New Testament.	5	29
""			
6	CITIZEN HEARST, by W.A. Swanberg.	6	4
""			
7	RING OF BRIGHT WATER, by Gavin Maxwell.	8	32
""			
8	KIDNAP, by George Waller.	12	5
""			
9	RUSSIA AND THE WEST UNDER LENIN AND STALIN, by George F. Kennan.	7	20
""			
10	THE SHEPPARD MURDER CASE, by Paul Holmes.	9	7
""			
11	NOBODY KNOWS MY NAME, by James Baldwin.	14	8
""			
12	THE SPANISH CIVIL WAR, by Hugh Thomas.	11	11
""			
13	A MATTER OF LIFE AND DEATH, by Virgilia Peterson.	13	2
""			
14	THE AGE OF REASON BEGINS, by Will and Ariel Durant.	10	4
""			
15	IT'S THE IRISH, by Bob Considine.	--	1
""			
16	SINCE YOU ASK ME, by Ann Landers.	--	1
