This	August 6, 1961	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE AGONY AND THE ECSTASY, by Irving Stone.	1	19
""			
2	TO KILL A MOCKINGBIRD, by Harper Lee.	2	53
""			
3	MILA 18, by Leon Uris.	3	8
""			
4	THE EDGE OF SADNESS, by Edwin O'Connor.	4	7
""			
5	THE WINTER OF OUR DISCONTENT, by John Steinbeck.	5	5
""			
6	TROPIC OF CANCER, by Henry Miller.	6	6
""			
7	THE CARPETBAGGERS, by Harold Robbins.	7	6
""			
8	REMBRANDT, by Gladys Schmitt.	8	3
""			
9	A SHOOTING STAR, by Wallace Stegner.	11	8
""			
10	A JOURNEY TO MATECUMBE, by Robert Lewis Taylor.	12	11
""			
11	MOTHERS AND DAUGHTERS, by Evan Hunter.	10	8
""			
12	THE INCREDIBLE JOURNEY, by Sheila Burnford.	--	10
""			
13	HAWAII, by James Michener.	13	90
""			
14	CHINA COURT, by Rumer Godden.	14	19
""			
15	A BURNT-OUT CASE, by Graham Greene.	15	24
""			
16	THE LAST OF THE JUST, by Andre Schwarz-Bart.	9	38
This	August 6, 1961	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	1	40
""			
2	A NATION OF SHEEP, by William J. Lederer.	2	15
""			
3	THE NEW ENGLISH BIBLE; New Testament.	3	19
""			
4	RING OF BRIGHT WATER, by Gavin Maxwell.	5	22
""			
5	THE MAKING OF THE PRESIDENT 1960, by Theodore H. White.	4	4
""			
6	RUSSIA AND THE WEST UNDER LENIN AND STALIN, by George F. Kennan.	6	10
""			
7	INSIDE EUROPE TODAY, by John Gunther.	12	2
""			
8	LIFE WITH WOMEN AND HOW TO SURVIVE IT, by Joseph H. Peck.	8	8
""			
9	MIRROR, MIRROR ON THE WALL, by Gayelord Hauser.	10	17
""			
10	MY THIRTY YEARS BACKSTAIRS AT THE WHITE HOUSE, by Lilian Rogers	7	20
""	Parks.		
""			
11	FIRSTHAND REPORT, by Sherman Adams.	9	4
""			
12	AMERICA -- TOO YOUNG TO DIE!, by Alex P. De Seversky.	--	1
""			
13	LIZZIE BORDEN, by Edward D. Radin.	15	4
""			
14	FATE IS THE HUNTER, by Ernest K. Gann.	14	25
""			
15	SKETCHES FROM LIFE, by Dean Acheson.	11	9
""			
16	THE SPANISH CIVIL WAR, by Hugh Thomas.	--	1
