This		January 17, 1960	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		2	9
""				
2	ADVISE AND CONSENT, by Allen Drury.		1	23
""				
3	DEAR AND GLORIOUS PHYSICIAN, by Taylor Caldwell.		3	42
""				
4	POOR NO MORE, by Robert Ruark.		4	10
""				
5	THE WAR LOVER, by John Hersey.		5	13
""				
6	EXODUS, by Leon Uris.		6	67
""				
7	THE DARKNESS AND THE DAWN, by Thomas B. Costain.		8	12
""				
8	THE DEVIL'S ADVOCATE, by Morrs L. West.		7	16
""				
9	THE UGLY AMERICAN, by William J. Lederer and Eugene Burdick.		9	65
""				
10	THE MANSION, by William Faulkner.		10	8
""				
11	THE RESCUERS, by Margery Sharp.		--	2
""				
12	THE THIRTEENTH APOSTLE, by Eugene Vale.		12	19
""				
13	THE RETURN OF H*Y*M*A*N K*A*P*L*A*N, by Leo Rosten.		16	4
""				
14	TOO MANY GHOSTS, by Paul Gallico.		11	8
""				
15	THE BREAKING POINT, by Daphne du Maurier.		13	6
""				
16	THE CAVE, by Robert Penn Warren.		15	19
This		January 17, 1960	Last	Weeks
Week		Non-Fiction	Week	On List
""				
1	ACT ONE, by Moss Hart.		1	16
""				
2	THIS IS MY GOD, by Herman Wouk.		2	15
""				
3	FOLK MEDICINE, by Deforest Clinton Jarvis.		3	40
""				
4	THE ARMADA, by Garrett Mattingly.		5	11
""				
5	THE LONGEST DAY, by Cornelius Ryan.		6	6
""				
6	THE STATUS SEEKERS, by Vance Packard.		4	36
""				
7	THE JOY OF MUSIC, by Leonard Bernstein.		8	4
""				
8	FOR 2c PLAIN, by Harry Golden.		7	27
""				
9	THE ELEMENTS OF STYLE, by William Strunk Jr. and E.B. White.		9	25
""				
10	THE SILENT TRAVELLER IN BOSTON, by Chiang Yee.		11	2
""				
11	ADVENTUROUS ALLIANCE, by Louise Hall Tharp.		16	6
""				
12	THE SECRET WORLD OF KIDS, by Art Linkletter.		--	2
""				
13	THE APE IN ME, by Cornelia Otis Skinner.		15	14
""				
14	DIPLOMAT, by Charles Wheeler Thayer.		12	10
""				
15	GROUCHO AND ME, by Groucho Marx.		10	16
""				
16	AMERICA THE VINCIBLE, by Emmet John Hughes.		--	2
