This		August 21, 1960	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		2	40
""				
2	ADVISE AND CONSENT, by Allen Drury.		1	54
""				
3	THE LEOPARD, by Guiseppe di Lampedusa.		3	15
""				
4	THE CHAPMAN REPORT, by Irving Wallace.		4	12
""				
5	WATER OF LIFE, by Henry Morton Robinson.		5	8
""				
6	THE LOVELY AMBITION, by Mary Ellen Chase.		7	8
""				
7	THE AFFAIR, by C.P. Snow.		6	13
""				
8	TO KILL A MOCKINGBIRD, by Harper Lee.		12	3
""				
9	BEFORE YOU GO, by Jerome Weidman.		15	2
""				
10	DIAMOND HEAD, by Peter Gilman.		9	6
""				
11	WATCHER IN THE SHADOWS, by Geoffrey Household.		10	5
""				
12	THE VIEW FROM THE FORTIETH FLOOR, by Theodore H. White.		8	11
""				
13	SET THIS HOUSE ON FIRE, by William Styron.		11	9
""				
14	THE SUN IS MY SHADOW, by Robert Wilder.		--	1
""				
15	TRUSTEE FROM THE TOOLROOM, by Nevil Shute.		14	20
""				
16	THE CONSTANT IMAGE, by Marcia Davenport.		--	27
This	August 21, 1960	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BORN FREE, by Joy Adamson.	1	15
""			
2	MAY THIS HOUSE BE SAFE FROM TIGERS, by Alexander King.	2	31
""			
3	HOW I MADE $2,000,000 IN THE STOCK MARKET, by Nicolas Darvas.	3	8
""			
4	FOLK MEDICINE, by Deforest Clinton Jarvis.	4	71
""			
5	FELIX FRANKFURTER REMINISCES, by Felix Frankfurter.	5	9
""			
6	THE CONSCIENCE OF A CONSERVATIVE, by Barry Goldwater.	6	8
""			
7	I KID YOU NOT, by Jack Paar.	7	18
""			
8	THE GOOD YEARS, by Walter Lord.	8	8
""			
9	THE NIGHT THEY BURNED THE MOUNTAIN, by Thomas A. Dooley.	11	16
""			
10	ENJOY, ENJOY!, by Harry Golden.	9	4
""			
11	MR. CITIZEN, by Harry S. Truman.	10	8
""			
12	THOMAS WOLFE, by Elizabeth Nowell.	13	4
""			
13	THE ENEMY WITHIN, by Robert F. Kennedy.	12	23
""			
14	THE STRATEGY OF PEACE, by John F. Kennedy.	15	2
""			
15	BASEBALL IS A FUNNY GAME, by Joe Garagiola.	--	4
""			
16	DAUGHTERS AND REBELS, by Jessica Mitford.	--	1
