This		July 17, 1960	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		3	35
""				
2	ADVISE AND CONSENT, by Allen Drury.		1	49
""				
3	THE LEOPARD, by Guiseppe di Lampedusa.		2	10
""				
4	THE CHAPMAN REPORT, by Irving Wallace.		4	7
""				
5	THE AFFAIR, by C.P. Snow.		6	8
""				
6	THE VIEW FROM THE FORTIETH FLOOR, by Theodore H. White.		7	6
""				
7	WATER OF LIFE, by Henry Morton Robinson.		8	3
""				
8	THE LINCOLN LORDS, by Cameron Hawley.		9	18
""				
9	TRUSTEE FROM THE TOOLROOM, by Nevil Shute.		10	15
""				
10	SET THIS HOUSE ON FIRE, by William Styron.		11	4
""				
11	THE CONSTANT IMAGE, by Marcia Davenport.		5	23
""				
12	THE LOVELY AMBITION, by Mary Ellen Chase.		12	3
""				
13	DIAMOND HEAD, by Peter Gilman.		--	1
""				
14	THE DEVIL'S ADVOCATE, by Morrs L. West.		--	38
""				
15	THE INTERNS, by Richard Frede.		16	4
""				
16	A DISTANT TRUMPET, by Paul Horgan.		13	11
This	July 17, 1960	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MAY THIS HOUSE BE SAFE FROM TIGERS, by Alexander King.	1	26
""			
2	I KID YOU NOT, by Jack Paar.	2	13
""			
3	FOLK MEDICINE, by Deforest Clinton Jarvis.	3	66
""			
4	BORN FREE, by Joy Adamson.	4	10
""			
5	THE NIGHT THEY BURNED THE MOUNTAIN, by Thomas A. Dooley.	5	11
""			
6	MR. CITIZEN, by Harry S. Truman.	8	3
""			
7	THE GOOD YEARS, by Walter Lord.	7	3
""			
8	THE ENEMY WITHIN, by Robert F. Kennedy.	6	18
""			
9	HOW I MADE $2,000,000 IN THE STOCK MARKET, by Nicolas Darvas.	11	3
""			
10	THE LAW AND THE PROFITS, by C. Northcote Parkinson.	9	18
""			
11	FELIX FRANKFURTER REMINISCES, by Felix Frankfurter.	10	4
""			
12	THE CONSCIENCE OF A CONSERVATIVE, by Barry Goldwater.	14	3
""			
13	GRANT MOVES SOUTH, by Bruce Catton.	12	20
""			
14	CARP'S WASHINGTON, by Frank G. Carpenter.	--	7
""			
15	THAT CERTAIN SOMETHING, by Arlene Francis.	--	1
""			
16	ACT ONE, by Moss Hart.	15	41
