This	January 3, 1960	Last	Weeks
Week	Fiction	Week	On List
""			
1	ADVISE AND CONSENT, by Allen Drury.	1	21
""			
2	HAWAII, by James Michener.	2	7
""			
3	DEAR AND GLORIOUS PHYSICIAN, by Taylor Caldwell.	4	40
""			
4	POOR NO MORE, by Robert Ruark.	3	8
""			
5	EXODUS, by Leon Uris.	6	65
""			
6	THE WAR LOVER, by John Hersey.	5	11
""			
7	THE DARKNESS AND THE DAWN, by Thomas B. Costain.	7	10
""			
8	THE DEVIL'S ADVOCATE, by Morrs L. West.	9	14
""			
9	THE UGLY AMERICAN, by William J. Lederer and Eugene Burdick.	8	63
""			
10	THE MANSION, by William Faulkner.	11	6
""			
11	THE CAVE, by Robert Penn Warren.	13	17
""			
12	TOO MANY GHOSTS, by Paul Gallico.	12	6
""			
13	THE THIRTEENTH APOSTLE, by Eugene Vale.	10	17
""			
14	RETURN TO PEYTON PLACE, by Grace Metalious.	--	1
""			
15	GEMINI, by William Kelley.	15	3
""			
16	THE RESCUERS, by Margery Sharp.	--	1
This		January 3, 1960	Last	Weeks
Week		Non-Fiction	Week	On List
""				
1	ACT ONE, by Moss Hart.		1	14
""				
2	THIS IS MY GOD, by Herman Wouk.		2	13
""				
3	FOLK MEDICINE, by Deforest Clinton Jarvis.		3	38
""				
4	THE ARMADA, by Garrett Mattingly.		5	9
""				
5	THE STATUS SEEKERS, by Vance Packard.		4	34
""				
6	THE LONGEST DAY, by Cornelius Ryan.		7	4
""				
7	FOR 2c PLAIN, by Harry Golden.		6	25
""				
8	THE ELEMENTS OF STYLE, by William Strunk Jr. and E.B. White.		10	23
""				
9	THE APE IN ME, by Cornelia Otis Skinner.		8	12
""				
10	GROUCHO AND ME, by Groucho Marx.		9	14
""				
11	THE JOY OF MUSIC, by Leonard Bernstein.		12	2
""				
12	ADVENTUROUS ALLIANCE, by Louise Hall Tharp.		14	4
""				
13	DIPLOMAT, by Charles Wheeler Thayer.		11	8
""				
14	THE SECRET WORLD OF KIDS, by Art Linkletter.		--	1
""				
15	THE AMAZING RESULTS OF POSITIVE THINKING, by Norman Vincent		--	2
""	Peale.			
""				
16	CANDIDATES 1960, by Eric Sevareid.		--	7
