This	May 11, 1969	Last	Weeks
Week	Fiction	Week	On List
""			
1	PORTNOY'S COMPLAINT, by Philip Roth.	1	12
""			
2	THE GODFATHER, by Mario Puzo.	3	7
""			
3	THE SALZBURG CONNECTION, by Helen MacInnes.	2	34
""			
4	AIRPORT, by Arthur Hailey.	4	59
""			
5	SLAUGHTERHOUSE FIVE, by Kurt Vonnegut.	5	3
""			
6	THE VINES OF YARRABEE, by Dorothy Eden.	7	9
""			
7	EXCEPT FOR ME AND THEE, by Jessamyn West.	9	4
""			
8	A SMALL TOWN IN GERMANY, by John le Carré.	6	27
""			
9	SUNDAY THE RABBI STAYED HOME, by Harry Kemelman.	8	7
""			
10	THE LOST QUEEN, by Norah Lofts.	10	8
This		May 11, 1969	Last	Weeks
Week		Non-Fiction	Week	On List
""				
1	JENNIE, by Ralph G. Martin.		2	8
""				
2	THE 900 DAYS, by Harrison E. Sailsbury.		1	12
""				
3	"THE MONEY GAME, by ""Adam Smith""."		3	47
""				
4	ERNEST HEMINGWAY, by Carlos Baker.		6	2
""				
5	MISS CRAIG'S 21-DAY SHAPE-UP PROGRAM FOR MEN AND WOMEN, by		4	16
""	Marjorie Craig.			
""				
6	THE TROUBLE WITH LAWYERS, by Murray Teigh Bloom.		5	10
""				
7	THE ARMS OF KRUPP, by William Manchester.		7	22
""				
8	INSTANT REPLAY, by Jerry Kramer.		8	27
""				
9	GRANT TAKES COMMAND, by Bruce Catton.		--	2
""				
10	THE INLAND ISLAND, by Josephine Winslow Johnson.		--	1
