This	November 19, 1961	Last	Weeks
Week	Fiction	Week	On List
""			
1	FRANNY AND ZOOEY, by J.D. Salinger.	1	9
""			
2	THE AGONY AND THE ECSTASY, by Irving Stone.	2	34
""			
3	TO KILL A MOCKINGBIRD, by Harper Lee.	3	68
""			
4	THE CARPETBAGGERS, by Harold Robbins.	4	21
""			
5	SPIRIT LAKE, by MacKinlay Kantor.	6	5
""			
6	MILA 18, by Leon Uris.	5	23
""			
7	TROPIC OF CANCER, by Henry Miller.	7	21
""			
8	CLOCK WITHOUT HANDS, by Carson McCullers.	8	12
""			
9	CHAIRMAN OF THE BORED, by Edward Streeter.	10	7
""			
10	LITTLE ME, by Patrick Dennis.	16	3
""			
11	THE WHITE RAJAH, by Nicholas Monsarrat.	11	5
""			
12	THE JUDAS TREE, by A.J. Cronin.	12	2
""			
13	THE EDGE OF SADNESS, by Edwin O'Connor.	9	22
""			
14	THE INCREDIBLE JOURNEY, by Sheila Burnford.	--	24
""			
15	THE PEACEMAKERS, by Marquis William Childs.	15	2
""			
16	THE WINTER OF OUR DISCONTENT, by John Steinbeck.	13	20
This	November 19, 1961	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE MAKING OF THE PRESIDENT 1960, by Theodore H. White.	1	19
""			
2	A NATION OF SHEEP, by William J. Lederer.	2	30
""			
3	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	3	55
""			
4	CITIZEN HEARST, by W.A. Swanberg.	5	9
""			
5	LIVING FREE, by Joy Adamson.	7	3
""			
6	THE NEW ENGLISH BIBLE; New Testament.	6	34
""			
7	INSIDE EUROPE TODAY, by John Gunther.	4	17
""			
8	I SHOULD HAVE KISSED HER MORE, by Alexander King.	14	5
""			
9	PROMISE AT DAWN, by Romain Gary.	10	3
""			
10	RUSSIA AND THE WEST UNDER LENIN AND STALIN, by George F. Kennan.	11	25
""			
11	THE COMING FURY, by Bruce Catton.	--	1
""			
12	RING OF BRIGHT WATER, by Gavin Maxwell.	12	37
""			
13	THE AGE OF REASON BEGINS, by Will and Ariel Durant.	8	9
""			
14	KIDNAP, by George Waller.	13	10
""			
15	SINCLAIR LEWIS: AN AMERICAN LIFE, by Mark Schorer.	16	4
""			
16	LAROUSSE GASTRONOMIQUE, by Prosper Montagne.	--	1
