This	April 1, 1962	Last	Weeks
Week	Fiction	Week	On List
""			
1	FRANNY AND ZOOEY, by J.D. Salinger.	1	28
""			
2	THE AGONY AND THE ECSTASY, by Irving Stone.	2	53
""			
3	THE BULL FROM THE SEA, by Mary Renault.	5	5
""			
4	THE FOX IN THE ATTIC, by Richard Hughes.	3	6
""			
5	A PROLOGUE TO LOVE, by Taylor Caldwell.	4	18
""			
6	DEVIL WATER, by Anya Seton.	7	3
""			
7	THE IVY TREE, by Mary Stewart.	8	12
""			
8	TO KILL A MOCKINGBIRD, by Harper Lee.	6	87
""			
9	CHAIRMAN OF THE BORED, by Edward Streeter.	11	26
""			
10	DAUGHTER OF SILENCE, by Morris L. West.	9	17
""			
11	CAPTAIN NEWMAN, M.D., by Leo Calvin Rosten.	10	10
""			
12	KIRKLAND REVELS, by Victoria Holt.	13	7
""			
13	THE INCREDIBLE JOURNEY, by Sheila Burnford.	--	39
""			
14	TWILIGHT OF HONOR, by Al Dewlen.	16	8
""			
15	CASTLE DOR, by Arthur Quiller-Couch and Daphne DuMaurier.	15	2
""			
16	LITTLE ME, by Patrick Dennis.	12	22
This	April 1, 1962	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	CALORIES DON'T COUNT, by Herman Taller.	1	17
""			
2	MY LIFE IN COURT, by Louis Nizer.	2	18
""			
3	THE GUNS OF AUGUST, by Barbara W. Tuchman.	4	7
""			
4	THE ROTHSCHILDS, by Frederic Morton.	7	4
""			
5	THE MAKING OF THE PRESIDENT 1960, by Theodore H. White.	3	38
""			
6	THE LAST PLANTAGENETS, by Thomas B. Costain.	6	7
""			
7	CIA: THE INSIDE STORY, by Andrew Tully.	5	8
""			
8	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	8	74
""			
9	MY SABER IS BENT, by Jack Paar.	12	14
""			
10	THE NEW ENGLISH BIBLE; New Testament.	9	53
""			
11	A NATION OF SHEEP, by William J. Lederer.	10	49
""			
12	SCOTT FITZGERALD, by Andrew Turnbull.	--	1
""			
13	LIVING FREE, by Joy Adamson.	11	22
""			
14	BEFORE I SLEEP, by James Monahan.	13	13
""			
15	MIRROR, MIRROR ON THE WALL, by Gayelord Hauser.	--	25
""			
16	THE RICH NATIONS AND THE POOR NATIONS, by Barbara Ward.	--	1
