This	July 9, 1961	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE AGONY AND THE ECSTASY, by Irving Stone.	1	15
""			
2	TO KILL A MOCKINGBIRD, by Harper Lee.	2	49
""			
3	MILA 18, by Leon Uris.	4	4
""			
4	THE EDGE OF SADNESS, by Edwin O'Connor.	3	3
""			
5	THE LAST OF THE JUST, by Andre Schwarz-Bart.	5	34
""			
6	THE WINTER OF OUR DISCONTENT, by John Steinbeck.	--	1
""			
7	HAWAII, by James Michener.	11	86
""			
8	TROPIC OF CANCER, by Henry Miller.	10	2
""			
9	A BURNT-OUT CASE, by Graham Greene.	6	20
""			
10	A SHOOTING STAR, by Wallace Stegner.	7	4
""			
11	A JOURNEY TO MATECUMBE, by Robert Lewis Taylor.	9	7
""			
12	CHINA COURT, by Rumer Godden.	8	16
""			
13	THE CHATEAU, by William Maxwell.	--	12
""			
14	ADVISE AND CONSENT, by Allen Drury.	14	100
""			
15	WINNIE ILLE PU, by A.A. Milnei.	15	20
""			
16	MIDCENTURY, by John Dos Passos.	--	16
This	July 9, 1961	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	1	36
""			
2	THE NEW ENGLISH BIBLE; New Testament.	2	15
""			
3	A NATION OF SHEEP, by William J. Lederer.	3	11
""			
4	RING OF BRIGHT WATER, by Gavin Maxwell.	4	18
""			
5	RUSSIA AND THE WEST UNDER LENIN AND STALIN, by George F. Kennan.	5	6
""			
6	MY THIRTY YEARS BACKSTAIRS AT THE WHITE HOUSE, by Lilian Rogers	6	16
""	Parks.		
""			
7	MIRROR, MIRROR ON THE WALL, by Gayelord Hauser.	7	13
""			
8	LIFE WITH WOMEN AND HOW TO SURVIVE IT, by Joseph H. Peck.	12	4
""			
9	THE SIXTH MAN, by Jess Stearn.	14	11
""			
10	LIZZIE BORDEN, by Edward D. Radin.	--	1
""			
11	JAPANESE INN, by Oliver Statler.	8	21
""			
12	THESE RUINS ARE INHABITED, by Muriel Beadle.	--	1
""			
13	SKETCHES FROM LIFE, by Dean Acheson.	13	5
""			
14	LANTERNS AND LANCES, by James Thurber.	15	3
""			
15	MUSIC OF THE SPHERES, by Guy Murchie.	16	2
""			
16	FATE IS THE HUNTER, by Ernest K. Gann.	11	21
