This	January 24, 1960	Last	Weeks
Week	Fiction	Week	On List
""			
1	ADVISE AND CONSENT, by Allen Drury.	2	24
""			
2	HAWAII, by James Michener.	1	10
""			
3	POOR NO MORE, by Robert Ruark.	4	11
""			
4	DEAR AND GLORIOUS PHYSICIAN, by Taylor Caldwell.	3	43
""			
5	THE WAR LOVER, by John Hersey.	5	14
""			
6	THE DARKNESS AND THE DAWN, by Thomas B. Costain.	7	13
""			
7	EXODUS, by Leon Uris.	6	68
""			
8	THE DEVIL'S ADVOCATE, by Morrs L. West.	8	17
""			
9	THE UGLY AMERICAN, by William J. Lederer and Eugene Burdick.	9	66
""			
10	THE MANSION, by William Faulkner.	10	9
""			
11	THE CAVE, by Robert Penn Warren.	16	20
""			
12	TOO MANY GHOSTS, by Paul Gallico.	14	9
""			
13	RETURN TO PEYTON PLACE, by Grace Metalious.	--	2
""			
14	THE THIRTEENTH APOSTLE, by Eugene Vale.	12	20
""			
15	"THRUSH GREEN, by ""Miss Read""."	--	1
""			
16	THE BREAKING POINT, by Daphne du Maurier.	15	7
This		January 24, 1960	Last	Weeks
Week		Non-Fiction	Week	On List
""				
1	ACT ONE, by Moss Hart.		1	17
""				
2	FOLK MEDICINE, by Deforest Clinton Jarvis.		3	41
""				
3	THIS IS MY GOD, by Herman Wouk.		2	16
""				
4	THE LONGEST DAY, by Cornelius Ryan.		5	7
""				
5	THE ARMADA, by Garrett Mattingly.		4	12
""				
6	THE STATUS SEEKERS, by Vance Packard.		6	37
""				
7	THE JOY OF MUSIC, by Leonard Bernstein.		7	5
""				
8	FOR 2c PLAIN, by Harry Golden.		8	28
""				
9	THE ELEMENTS OF STYLE, by William Strunk Jr. and E.B. White.		9	26
""				
10	MY WICKED, WICKED WAYS, by Errol Flynn.		--	1
""				
11	GROUCHO AND ME, by Groucho Marx.		15	17
""				
12	TRIUMPH IN THE WEST, by Arthur Bryant.		--	2
""				
13	MAY THIS HOUSE BE SAFE FROM TIGERS, by Alexander King.		--	1
""				
14	THE APE IN ME, by Cornelia Otis Skinner.		13	15
""				
15	DIPLOMAT, by Charles Wheeler Thayer.		14	11
""				
16	GENTLEMEN, SCHOLARS AND SCOUNDRELS, by Horace Knowles.		--	7
