This	February 14, 1960	Last	Weeks
Week	Fiction	Week	On List
""			
1	HAWAII, by James Michener.	1	13
""			
2	ADVISE AND CONSENT, by Allen Drury.	2	27
""			
3	DEAR AND GLORIOUS PHYSICIAN, by Taylor Caldwell.	4	46
""			
4	POOR NO MORE, by Robert Ruark.	3	14
""			
5	THE DEVIL'S ADVOCATE, by Morrs L. West.	6	20
""			
6	EXODUS, by Leon Uris.	7	71
""			
7	THE WAR LOVER, by John Hersey.	5	17
""			
8	THE DARKNESS AND THE DAWN, by Thomas B. Costain.	8	16
""			
9	THE CONSTANT IMAGE, by Marcia Davenport.	--	1
""			
10	THE UGLY AMERICAN, by William J. Lederer and Eugene Burdick.	9	69
""			
11	FUEL FOR THE FLAME, by Alec Waugh.	10	3
""			
12	TWO WEEKS IN ANOTHER TOWN, by Irwin Shaw.	15	2
""			
13	THE MANSION, by William Faulkner.	14	12
""			
14	FALSE SCENT, by Ngaio Marsh.	12	3
""			
15	THE THIRTEENTH APOSTLE, by Eugene Vale.	11	22
""			
16	GEMINI, by William Kelley.	--	5
This		February 14, 1960	Last	Weeks
Week		Non-Fiction	Week	On List
""				
1	ACT ONE, by Moss Hart.		1	20
""				
2	FOLK MEDICINE, by Deforest Clinton Jarvis.		2	44
""				
3	MAY THIS HOUSE BE SAFE FROM TIGERS, by Alexander King.		4	4
""				
4	THIS IS MY GOD, by Herman Wouk.		3	19
""				
5	THE LONGEST DAY, by Cornelius Ryan.		5	10
""				
6	MY WICKED, WICKED WAYS, by Errol Flynn.		7	4
""				
7	THE JOY OF MUSIC, by Leonard Bernstein.		6	8
""				
8	THE STATUS SEEKERS, by Vance Packard.		8	40
""				
9	THE ARMADA, by Garrett Mattingly.		9	15
""				
10	THE UNCERTAIN TRUMPET, by General Maxwell D. Taylor.		11	3
""				
11	THE FACTS ABOUT NIXON, by William Costello.		12	2
""				
12	HOW I TURNED $1,000 INTO A MILLION IN REAL ESTATE -- IN MY SPARE		--	39
""	TIME, by William Nickerson.			
""				
13	THE STOLEN YEARS, by Roger Touhy and Ray Brennan.		15	3
""				
14	THE ELEMENTS OF STYLE, by William Strunk Jr. and E.B. White.		10	29
""				
15	CANDIDATES 1960, by Eric Sevareid.		--	8
""				
16	FOR 2c PLAIN, by Harry Golden.		14	31
