This	September 18, 1960	Last	Weeks
Week	Fiction	Week	On List
""			
1	HAWAII, by James Michener.	1	44
""			
2	ADVISE AND CONSENT, by Allen Drury.	2	58
""			
3	THE LEOPARD, by Guiseppe di Lampedusa.	3	19
""			
4	THE CHAPMAN REPORT, by Irving Wallace.	4	16
""			
5	THE LOVELY AMBITION, by Mary Ellen Chase.	5	12
""			
6	WATER OF LIFE, by Henry Morton Robinson.	7	12
""			
7	TO KILL A MOCKINGBIRD, by Harper Lee.	6	7
""			
8	THE AFFAIR, by C.P. Snow.	9	17
""			
9	THE LAST TEMPTATION OF CHRIST, by Nikos Kazantzakis.	--	2
""			
10	BEFORE YOU GO, by Jerome Weidman.	10	6
""			
11	THE SUN IS MY SHADOW, by Robert Wilder.	12	5
""			
12	DIAMOND HEAD, by Peter Gilman.	8	10
""			
13	THE VIEW FROM THE FORTIETH FLOOR, by Theodore H. White.	11	15
""			
14	SET THIS HOUSE ON FIRE, by William Styron.	14	13
""			
15	THE CONSTANT IMAGE, by Marcia Davenport.	--	29
""			
16	AWAY FROM HOME, by Rona Jaffe.	13	2
This	September 18, 1960	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BORN FREE, by Joy Adamson.	1	19
""			
2	HOW I MADE $2,000,000 IN THE STOCK MARKET, by Nicolas Darvas.	2	12
""			
3	MAY THIS HOUSE BE SAFE FROM TIGERS, by Alexander King.	4	35
""			
4	FELIX FRANKFURTER REMINISCES, by Felix Frankfurter.	6	13
""			
5	FOLK MEDICINE, by Deforest Clinton Jarvis.	7	75
""			
6	ENJOY, ENJOY!, by Harry Golden.	3	8
""			
7	THE CONSCIENCE OF A CONSERVATIVE, by Barry Goldwater.	5	12
""			
8	THE GOOD YEARS, by Walter Lord.	8	12
""			
9	I KID YOU NOT, by Jack Paar.	9	22
""			
10	THE LIBERAL HOUR, by John Kenneth Galbraith.	10	3
""			
11	BASEBALL IS A FUNNY GAME, by Joe Garagiola.	13	8
""			
12	THOMAS WOLFE, by Elizabeth Nowell.	15	8
""			
13	TAKEN AT THE FLOOD, by John Gunther.	--	1
""			
14	THE STRATEGY OF PEACE, by John F. Kennedy.	--	4
""			
15	THE NIGHT THEY BURNED THE MOUNTAIN, by Thomas A. Dooley.	14	20
""			
16	DAUGHTERS AND REBELS, by Jessica Mitford.	--	3
