This		May 1, 1960	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		1	24
""				
2	ADVISE AND CONSENT, by Allen Drury.		2	38
""				
3	THE CONSTANT IMAGE, by Marcia Davenport.		3	12
""				
4	OURSELVES TO KNOW, by John O'Hara.		4	10
""				
5	THE LINCOLN LORDS, by Cameron Hawley.		5	7
""				
6	TWO WEEKS IN ANOTHER TOWN, by Irwin Shaw.		6	13
""				
7	TRUSTEE FROM THE TOOLROOM, by Nevil Shute.		8	4
""				
8	CLEA, by Lawrence Durrell.		10	4
""				
9	MRS. 'ARRIS GOES TO NEW YORK, by Paul Gallico.		11	5
""				
10	DEAR AND GLORIOUS PHYSICIAN, by Taylor Caldwell.		9	57
""				
11	THE DEVIL'S ADVOCATE, by Morrs L. West.		7	31
""				
12	MY BROTHER MICHAEL, by Mary Stewart.		15	2
""				
13	KISS KISS, by Roald Dahl.		14	10
""				
14	POOR NO MORE, by Robert Ruark.		12	25
""				
15	WORLD CRUISE, by Frances Malm.		--	1
""				
16	ALL THE DAY LONG, by Howard Spring.		16	7
This	May 1, 1960	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MAY THIS HOUSE BE SAFE FROM TIGERS, by Alexander King.	1	15
""			
2	FOLK MEDICINE, by Deforest Clinton Jarvis.	2	55
""			
3	THE ENEMY WITHIN, by Robert F. Kennedy.	3	7
""			
4	ACT ONE, by Moss Hart.	5	31
""			
5	THE LAW AND THE PROFITS, by C. Northcote Parkinson.	4	7
""			
6	I KID YOU NOT, by Jack Paar.	11	2
""			
7	GRANT MOVES SOUTH, by Bruce Catton.	7	10
""			
8	MY WICKED, WICKED WAYS, by Errol Flynn.	6	15
""			
9	HOLLYWOOD RAJAH, by Bosley Crowther.	10	3
""			
10	THE JOY OF MUSIC, by Leonard Bernstein.	8	19
""			
11	MEYER BERGER'S NEW YORK, by Meyer Berger.	--	3
""			
12	WAIKIKI BEACHNIK, by Harry Allen Smith.	12	5
""			
13	NEVER TRUST A NAKED BUS DRIVER, by Jack Douglas.	--	1
""			
14	THE LONGEST DAY, by Cornelius Ryan.	9	21
""			
15	THE STATUS SEEKERS, by Vance Packard.	16	51
""			
16	QUEEN MARY, 1867-1953. By James Pope-Hennessy.	14	9
