This	August 19, 1962	Last	Weeks
Week	Fiction	Week	On List
""			
1	SHIP OF FOOLS, by Katherine Anne Porter.	1	19
""			
2	DEARLY BELOVED, by Anne Morrow Lindbergh.	2	10
""			
3	YOUNGBLOOD HAWKE, by Herman Wouk.	3	13
""			
4	THE REIVERS, by William Faulkner.	5	9
""			
5	UHURU, by Robert Ruark.	6	9
""			
6	THE PRIZE, by Irving Wallace.	4	9
""			
7	ANOTHER COUNTRY, by James Baldwin.	7	7
""			
8	PORTRAIT IN BROWNSTONE, by Louis Auchincloss.	8	4
""			
9	THE AGONY AND THE ECSTASY, by Irving Stone.	10	73
""			
10	FRANNY AND ZOOEY, by J.D. Salinger.	9	48
""			
11	LETTING GO, by Philip Roth.	11	7
""			
12	DEVIL WATER, by Anya Seton.	14	23
""			
13	THE SOUND OF BOW BELLS, by Jerome Weidman.	--	1
""			
14	THE BIG LAUGH, by John O'Hara.	12	12
""			
15	THE GOLDEN RENDEZVOUS, by Alistair MacLean.	13	6
""			
16	THE BULL FROM THE SEA, by Mary Renault.	15	25
This	August 19, 1962	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE ROTHSCHILDS, by Frederic Morton.	1	24
""			
2	MY LIFE IN COURT, by Louis Nizer.	2	38
""			
3	THE GUNS OF AUGUST, by Barbara W. Tuchman.	4	27
""			
4	O YE JIGS & JULEPS!, by Virginia Cary Hudson.	3	13
""			
5	ONE MAN'S FREEDOM, by Edward Bennett Williams.	9	7
""			
6	MEN AND DECISIONS, by Lewis L. Strauss.	7	4
""			
7	SEX AND THE SINGLE GIRL, by Helen Gurley Brown.	6	8
""			
8	CALORIES DON'T COUNT, by Herman Taller.	5	37
""			
9	IN THE CLEARING, by Robert Frost.	8	19
""			
10	VEECK -- AS IN WRECK, by Bill Veeck.	10	4
""			
11	TRAVELS WITH CHARLEY, by John Steinbeck.	15	2
""			
12	WHO'S IN CHARGE HERE?, by Gerald C. Gardner.	12	2
""			
13	CONVERSATION WITH STALIN, by Milovan Djilas.	11	12
""			
14	JFK COLORING BOOK, by Jackie Kannon.	13	6
""			
15	THE MAKING OF THE PRESIDENT 1960, by Theodore H. White.	--	56
""			
16	A THOUSAND SPRINGS, by Anna Chennault.	--	3
