This	February 25, 1962	Last	Weeks
Week	Fiction	Week	On List
""			
1	FRANNY AND ZOOEY, by J.D. Salinger.	1	23
""			
2	THE AGONY AND THE ECSTASY, by Irving Stone.	2	48
""			
3	A PROLOGUE TO LOVE, by Taylor Caldwell.	4	13
""			
4	TO KILL A MOCKINGBIRD, by Harper Lee.	3	82
""			
5	DAUGHTER OF SILENCE, by Morris L. West.	5	12
""			
6	LITTLE ME, by Patrick Dennis.	6	17
""			
7	CHAIRMAN OF THE BORED, by Edward Streeter.	7	21
""			
8	THE IVY TREE, by Mary Stewart.	8	7
""			
9	CAPTAIN NEWMAN, M.D., by Leo Calvin Rosten.	11	5
""			
10	SPIRIT LAKE, by MacKinlay Kantor.	9	19
""			
11	THE FOX IN THE ATTIC, by Richard Hughes.	--	1
""			
12	THE CARPETBAGGERS, by Harold Robbins.	10	35
""			
13	TWILIGHT OF HONOR, by Al Dewlen.	13	3
""			
14	A STAR IN THE WIND, by Robert Nathan.	--	1
""			
15	THE END OF THE BATTLE, by Evelyn Waugh.	--	2
""			
16	THE INCREDIBLE JOURNEY, by Sheila Burnford.	14	37
This	February 25, 1962	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MY LIFE IN COURT, by Louis Nizer.	1	13
""			
2	CALORIES DON'T COUNT, by Herman Taller.	2	12
""			
3	THE MAKING OF THE PRESIDENT 1960, by Theodore H. White.	3	33
""			
4	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	5	69
""			
5	MY SABER IS BENT, by Jack Paar.	7	9
""			
6	A NATION OF SHEEP, by William J. Lederer.	6	44
""			
7	LIVING FREE, by Joy Adamson.	4	17
""			
8	THE GUNS OF AUGUST, by Barbara W. Tuchman.	10	2
""			
9	CIA: THE INSIDE STORY, by Andrew Tully.	11	3
""			
10	THE NEW ENGLISH BIBLE; New Testament.	8	48
""			
11	THE LAST PLANTAGENETS, by Thomas B. Costain.	14	2
""			
12	BEFORE I SLEEP, by James Monahan.	9	8
""			
13	I SHOULD HAVE KISSED HER MORE, by Alexander King.	16	19
""			
14	THE COMING FURY, by Bruce Catton.	12	15
""			
15	CITIZEN HEARST, by W.A. Swanberg.	13	23
""			
16	PT 109, by Robert J. Donovan.	15	9
