This	July 13, 1969	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE LOVE MACHINE, by Jacqueline Susann.	1	8
""			
2	PORTNOY'S COMPLAINT, by Philip Roth.	2	21
""			
3	THE GODFATHER, by Mario Puzo.	3	16
""			
4	ADA, OR ARDOR: A FAMILY CHRONICLE, by Vladimir Nabokov.	4	8
""			
5	THE ANDROMEDA STRAIN, by Michael Crichton.	6	3
""			
6	SLAUGHTERHOUSE FIVE, by Kurt Vonnegut.	7	12
""			
7	EXCEPT FOR ME AND THEE, by Jessamyn West.	5	13
""			
8	THE WAVES OF NIGHT, by Harry Mark Petrakis.	--	2
""			
9	BULLET PARK, by John Cheever.	--	8
""			
10	THE GOODBYE LOOK, by Ross MacDonald.	10	2
This		July 13, 1969	Last	Weeks
Week		Non-Fiction	Week	On List
""				
1	JENNIE, by Ralph G. Martin.		1	17
""				
2	THE PETER PRINCIPLE, by Dr. Laurence J. Peter and Raymond Hull.		3	9
""				
3	BETWEEN PARENT & TEENAGER, by Haim G. Ginott.		2	8
""				
4	ERNEST HEMINGWAY, by Carlos Baker.		4	11
""				
5	THE KINGDOM AND THE POWER, by Gay Talese.		5	3
""				
6	MISS CRAIG'S 21-DAY SHAPE-UP PROGRAM FOR MEN AND WOMEN, by		7	25
""	Marjorie Craig.			
""				
7	"THE MONEY GAME, by ""Adam Smith""."		8	56
""				
8	THE 900 DAYS, by Harrison E. Sailsbury.		6	21
""				
9	A LONG ROW OF CANDLES, by C.L. Sulzberger.		10	2
""				
10	THE JOYS OF YIDDISH, by Leo Rosten.		9	19
