This		August 28, 1960	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		1	41
""				
2	ADVISE AND CONSENT, by Allen Drury.		2	55
""				
3	THE LEOPARD, by Guiseppe di Lampedusa.		3	16
""				
4	THE CHAPMAN REPORT, by Irving Wallace.		4	13
""				
5	WATER OF LIFE, by Henry Morton Robinson.		5	9
""				
6	THE LOVELY AMBITION, by Mary Ellen Chase.		6	9
""				
7	TO KILL A MOCKINGBIRD, by Harper Lee.		8	4
""				
8	DIAMOND HEAD, by Peter Gilman.		10	7
""				
9	THE VIEW FROM THE FORTIETH FLOOR, by Theodore H. White.		12	12
""				
10	THE AFFAIR, by C.P. Snow.		7	14
""				
11	BEFORE YOU GO, by Jerome Weidman.		9	3
""				
12	SET THIS HOUSE ON FIRE, by William Styron.		13	10
""				
13	WATCHER IN THE SHADOWS, by Geoffrey Household.		11	6
""				
14	THE SUN IS MY SHADOW, by Robert Wilder.		14	2
""				
15	THE CONSTANT IMAGE, by Marcia Davenport.		16	28
""				
16	THE NUMBERED ACCOUNT, by Ann Bridge.		--	1
This	August 28, 1960	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BORN FREE, by Joy Adamson.	1	16
""			
2	MAY THIS HOUSE BE SAFE FROM TIGERS, by Alexander King.	2	32
""			
3	HOW I MADE $2,000,000 IN THE STOCK MARKET, by Nicolas Darvas.	3	9
""			
4	FOLK MEDICINE, by Deforest Clinton Jarvis.	4	72
""			
5	THE CONSCIENCE OF A CONSERVATIVE, by Barry Goldwater.	6	9
""			
6	ENJOY, ENJOY!, by Harry Golden.	10	5
""			
7	FELIX FRANKFURTER REMINISCES, by Felix Frankfurter.	5	10
""			
8	I KID YOU NOT, by Jack Paar.	7	19
""			
9	THE GOOD YEARS, by Walter Lord.	8	9
""			
10	MR. CITIZEN, by Harry S. Truman.	11	9
""			
11	THE ENEMY WITHIN, by Robert F. Kennedy.	13	24
""			
12	THE NIGHT THEY BURNED THE MOUNTAIN, by Thomas A. Dooley.	9	17
""			
13	THOMAS WOLFE, by Elizabeth Nowell.	12	5
""			
14	THE OPERATORS, by Frank Gibney.	--	2
""			
15	BASEBALL IS A FUNNY GAME, by Joe Garagiola.	15	5
""			
16	THE LAW AND THE PROFITS, by C. Northcote Parkinson.	--	22
