This	May 27, 1962	Last	Weeks
Week	Fiction	Week	On List
""			
1	SHIP OF FOOLS, by Katherine Anne Porter.	1	7
""			
2	FRANNY AND ZOOEY, by J.D. Salinger.	2	36
""			
3	THE BULL FROM THE SEA, by Mary Renault.	3	13
""			
4	THE AGONY AND THE ECSTASY, by Irving Stone.	4	61
""			
5	THE FOX IN THE ATTIC, by Richard Hughes.	5	14
""			
6	DEVIL WATER, by Anya Seton.	6	11
""			
7	A PROLOGUE TO LOVE, by Taylor Caldwell.	9	26
""			
8	HORNSTEIN'S BOY, by Robert Traver.	8	6
""			
9	ISLAND, by Aldous Huxley.	7	7
""			
10	YOUNGBLOOD HAWKE, by Herman Wouk.	--	1
""			
11	TO KILL A MOCKINGBIRD, by Harper Lee.	12	95
""			
12	CAPTAIN NEWMAN, M.D., by Leo Calvin Rosten.	10	18
""			
13	PIGEON FEATHERS, by John Updike.	13	6
""			
14	CHAIRMAN OF THE BORED, by Edward Streeter.	11	34
""			
15	THE IVY TREE, by Mary Stewart.	--	19
""			
16	A LONG AND HAPPY LIFE, by Reynolds Price.	14	4
This	May 27, 1962	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	CALORIES DON'T COUNT, by Herman Taller.	1	25
""			
2	MY LIFE IN COURT, by Louis Nizer.	3	26
""			
3	THE ROTHSCHILDS, by Frederic Morton.	2	12
""			
4	IN THE CLEARING, by Robert Frost.	6	7
""			
5	SIX CRISES, by Richard Nixon.	4	8
""			
6	THE GUNS OF AUGUST, by Barbara W. Tuchman.	5	15
""			
7	THE MAKING OF THE PRESIDENT 1960, by Theodore H. White.	8	46
""			
8	SCOTT FITZGERALD, by Andrew Turnbull.	7	9
""			
9	THE LAST PLANTAGENETS, by Thomas B. Costain.	9	15
""			
10	THE NEW ENGLISH BIBLE; New Testament.	10	61
""			
11	O YE JIGS & JULEPS!, by Virginia Cary Hudson.	--	1
""			
12	A BRIDGE FOR PASSING, by Pearl S. Buck.	11	5
""			
13	MIRROR, MIRROR ON THE WALL, by Gayelord Hauser.	16	33
""			
14	O'NEILL, by Arthur and Barbara Gelb.	12	5
""			
15	CIA: THE INSIDE STORY, by Andrew Tully.	13	16
""			
16	WHY NOT VICTORY?, by Barry M. Goldwater.	--	1
