This		April 17, 1960	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		1	22
""				
2	ADVISE AND CONSENT, by Allen Drury.		2	36
""				
3	THE CONSTANT IMAGE, by Marcia Davenport.		3	10
""				
4	OURSELVES TO KNOW, by John O'Hara.		4	8
""				
5	THE LINCOLN LORDS, by Cameron Hawley.		6	5
""				
6	TWO WEEKS IN ANOTHER TOWN, by Irwin Shaw.		5	11
""				
7	THE DEVIL'S ADVOCATE, by Morrs L. West.		7	29
""				
8	DEAR AND GLORIOUS PHYSICIAN, by Taylor Caldwell.		8	55
""				
9	CLEA, by Lawrence Durrell.		16	2
""				
10	MRS. 'ARRIS GOES TO NEW YORK, by Paul Gallico.		13	3
""				
11	TRUSTEE FROM THE TOOLROOM, by Nevil Shute.		14	2
""				
12	KISS KISS, by Roald Dahl.		10	8
""				
13	POOR NO MORE, by Robert Ruark.		9	23
""				
14	AIMEZ-VOUS BRAHMS, by Francoise Sagan.		--	1
""				
15	THE UGLY AMERICAN, by William J. Lederer and Eugene Burdick.		15	78
""				
16	ALL THE DAY LONG, by Howard Spring.		11	5
This	April 17, 1960	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MAY THIS HOUSE BE SAFE FROM TIGERS, by Alexander King.	1	13
""			
2	FOLK MEDICINE, by Deforest Clinton Jarvis.	2	53
""			
3	ACT ONE, by Moss Hart.	3	29
""			
4	GRANT MOVES SOUTH, by Bruce Catton.	6	8
""			
5	THE ENEMY WITHIN, by Robert F. Kennedy.	4	5
""			
6	MY WICKED, WICKED WAYS, by Errol Flynn.	5	13
""			
7	THE LAW AND THE PROFITS, by C. Northcote Parkinson.	7	5
""			
8	THE JOY OF MUSIC, by Leonard Bernstein.	8	17
""			
9	HOLLYWOOD RAJAH, by Bosley Crowther.	--	1
""			
10	THE LONGEST DAY, by Cornelius Ryan.	10	19
""			
11	THE STATUS SEEKERS, by Vance Packard.	12	49
""			
12	WAIKIKI BEACHNIK, by Harry Allen Smith.	15	3
""			
13	THIS IS MY GOD, by Herman Wouk.	11	28
""			
14	A TIME IN ROME, by Elizabeth Bowen.	--	4
""			
15	QUEEN MARY, 1867-1953. By James Pope-Hennessy.	9	7
""			
16	MEYER BERGER'S NEW YORK, by Meyer Berger.	13	2
