This	April 23, 1961	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE AGONY AND THE ECSTASY, by Irving Stone.	5	4
""			
2	THE LAST OF THE JUST, by Andre Schwarz-Bart.	1	23
""			
3	A BURNT-OUT CASE, by Graham Greene.	3	9
""			
4	HAWAII, by James Michener.	4	75
""			
5	ADVISE AND CONSENT, by Allen Drury.	6	89
""			
6	TO KILL A MOCKINGBIRD, by Harper Lee.	2	38
""			
7	MIDCENTURY, by John Dos Passos.	7	6
""			
8	CHINA COURT, by Rumer Godden.	8	5
""			
9	WINNIE ILLE PU, by A.A. Milnei.	9	9
""			
10	MANILA GALLEON, by F. Van Wyck Mason.	10	5
""			
11	DON'T TELL ALFRED, by Nancy Mitford.	15	2
""			
12	THE CHATEAU, by William Maxwell.	12	2
""			
13	SERMONS AND SODA WATER, by John O'Hara.	13	19
""			
14	DECISION AT DELPHI, by Helen MacInnes.	14	24
""			
15	POMP AND CIRCUMSTANCE, by Noel Coward.	11	21
""			
16	THE CHESS PLAYERS, by Frances Parkinson Keyes.	--	14
This	April 23, 1961	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	1	25
""			
2	THE NEW ENGLISH BIBLE; New Testament.	2	4
""			
3	RING OF BRIGHT WATER, by Gavin Maxwell.	5	7
""			
4	FATE IS THE HUNTER, by Ernest K. Gann.	3	10
""			
5	WHO KILLED SOCIETY? by Cleveland Amory.	4	17
""			
6	SKYLINE, by Gene Fowler.	7	10
""			
7	JAPANESE INN, by Oliver Statler.	6	10
""			
8	MY THIRTY YEARS BACKSTAIRS AT THE WHITE HOUSE, by Lilian Rogers	11	5
""	Parks.		
""			
9	THE WASTE MAKERS, by Vance Packard.	10	30
""			
10	THE WHITE NILE, by Alan Moorehead.	8	13
""			
11	PROFILES IN COURAGE, by John F. Kennedy.	9	100
""			
12	THE FROG POND, by Joyce MacIver.	15	3
""			
13	DR. TOM DOOLEY'S THREE GREAT BOOKS, by Dr. Tom Dooley.	--	4
""			
14	ANNIE'S CAPTAIN, by Kathryn Hulme.	12	2
""			
15	MIRROR, MIRROR ON THE WALL, by Gayelord Hauser.	16	2
""			
16	RESISTANCE, REBELLION, AND DEATH, by Albert Camus.	14	6
