decade,adventure,domestic,fsf,historical,horror,legal,mystery,religious,romance,spy_and_politics,suspense,war,ya,zz_needs label,zz_no genre
1950.0,,,,,,,,,,,,,,0.20652173913,0.233333333333
1960.0,,,,,,,0.8,,,,,,,0.0571428571429,0.23631840796
1970.0,,,0.1,,,,0.642857142857,,,0.25,,,,0.0952380952381,0.238095238095
1980.0,0.0,,0.108695652174,,0.05,,0.0833333333333,,,,,,,0.170731707317,0.292857142857
1990.0,0.0434782608696,1.0,0.09375,0.727272727273,0.153846153846,0.1,0.5,,0.875,0.0,0.181818181818,,,0.0769230769231,0.376440460948
2000.0,0.0,,0.142857142857,,0.47619047619,0.214285714286,0.222222222222,,0.823529411765,0.0,0.0606060606061,,,0.09375,0.467976710335
2010.0,,,,,0.818181818182,,0.166666666667,,,,0.0,,,0.162790697674,0.428359317001
