	authors	date	fast_subjects	genders	owi	rank	streak	title	year	year_pub	genre	gender
18456	['Raymond E. Feist']	1989-08-20	set(['Kidnapping', 'Princes', 'Fantasy fiction', 'Fantasy', 'Twins', 'Midkemia (Imaginary place)', 'Brothers'])	[{'gender': 'Male', 'viaf': '19708573', 'name': 'Raymond E. Feist'}]	714433	15	1	PRINCE OF THE BLOOD	1989	1970	no genre	Male
18457	['William F. Buckley Jr']	1982-03-14	set(['United States', 'United States. Central Intelligence Agency', 'Intelligence service', 'Adventure stories', 'Oakes, Blackford (Fictitious character)', 'Spy stories'])	[{'gender': 'Male', 'viaf': '73943799', 'name': 'William F. Buckley Jr'}]	131147256	2	7	MARCO POLO,  IF YOU CAN	1982	1925	spy_and_politics	Male
18458	['Colleen McCullough']	1982-03-14	set(['Pacific Area', 'Military psychiatry', 'Nurses', 'World War (1939-1945)', 'Soldiers', 'Psychiatric nursing', 'Hospitals', 'Military hospitals'])	[{'gender': 'Female', 'viaf': '113178953', 'name': 'Colleen McCullough'}]	8403	3	21	AN INDECENT OBSESSION	1982	1900	no genre	Female
18459	['Bette Bao Lord']	1982-03-14	set([])	[{'gender': 'Female', 'viaf': '90777242', 'name': 'Bette Bao Lord'}]	4520463	4	16	SPRING MOON	1982	1981	needs label	Female
18460	['Saul Bellow']	1982-03-14	set(['Romania', 'Mothers and sons', 'Romania--Bucharest', 'Social problems', 'Deans (Education)', 'Americans', 'Mothers-in-law', 'Illinois--Chicago'])	[{'gender': 'Male', 'viaf': '27060791', 'name': 'Saul Bellow'}]	569972	5	6	THE DEAN'S DECEMBER	1982	1915	no genre	Male
18461	['Anton Myrer']	1982-03-14	set(['Triangles (Interpersonal relations)', 'Brothers'])	[{'gender': 'Male', 'viaf': '15238', 'name': 'Anton Myrer'}]	3372197172	6	6	A GREEN DESIRE	1982		no genre	Male
18462	['John Irving']	1982-03-14	set(['Families', 'Hotels', 'New Hampshire', 'Austria--Vienna', 'English fiction'])	[{'gender': 'Male', 'viaf': '108238891', 'name': 'John Irving'}]	614234	7	26	THE HOTEL NEW HAMPSHIRE	1982	1957	no genre	Male
18463	['Danielle Steel']	1982-03-14	set(['Man-woman relationships', 'Romance fiction', 'Aristocracy (Social class)', 'New York (State)--New York--Manhattan', 'Italy', 'Fiction', 'World War (1939-1945)', 'Soldiers'])	[{'gender': 'Female', 'viaf': '100238676', 'name': 'Danielle Steel'}]	456842	8	19	REMEMBRANCE	1982	1981	no genre	Female
18464	['John Updike']	1982-03-14	set(['United States', 'Middle-aged men', 'Middle class men', 'Angstrom, Harry (Fictitious character)', 'Married men'])	[{'gender': 'Male', 'viaf': '90712179', 'name': 'John Updike'}]	463408	9	21	RABBIT IS RICH	1982	1981	no genre	Male
18465	['Gail Godwin']	1982-03-14	set(['Mothers and daughters', 'Domestic fiction', 'North Carolina'])	[{'gender': 'Female', 'viaf': '100267478', 'name': 'Gail Godwin'}]	1816530022	10	3	A MOTHER AND TWO DAUGHTERS	1982		no genre	Female
18466	['Robin Cook']	1982-03-14	set(['Hazardous waste sites', 'Detective and mystery stories', 'Bioethics', 'Hazardous wastes', 'Leukemia', 'Spanish language', 'English fiction', 'Medical ethics', 'American fiction', 'Horror tales'])	[{'gender': 'Male', 'viaf': '109274608', 'name': 'Robin Cook'}]	478576	11	3	FEVER	1982	1982	mystery	Male
18467	['Thomas Harris']	1982-03-14	set(['Mentally ill', 'Serial murders', 'Government investigators', 'Suspense fiction', 'Serial murderers', 'Lecter, Hannibal (Fictitious character)'])	[{'gender': 'Male', 'viaf': '110527100', 'name': 'Thomas Harris'}]	423006	12	8	RED DRAGON	1982	1981	no genre	Male
18468	['Stephen King']	1982-03-14	set(['Rabies', 'Maine', 'Castle Rock (Me. : Imaginary place)', 'Spanish fiction', 'Saint Bernard dog', 'Horror tales, American', 'Dogs', 'Horror tales'])	[{'gender': 'Male', 'viaf': '97113511', 'name': 'Stephen King'}]	354800	13	31	CUJO	1982	1971	horror	Male
18469	['Cynthia Freeman']	1982-03-14	set(['Israel', 'Romance fiction', 'Historical fiction', 'Middle East--Palestine'])	[{'gender': 'Female', 'viaf': '82775916', 'name': 'Cynthia Freeman'}]	348563671	14	18	NO TIME FOR TEARS	1982		historical	Female
18470	['Danielle Steel']	1988-01-03	set(['Family secrets', 'Romance fiction', 'Orphans', 'Fiction', 'Adoption', 'English fiction', 'Sisters', 'Families'])	[{'gender': 'Female', 'viaf': '100238676', 'name': 'Danielle Steel'}]	1881897325	2	11	KALEIDOSCOPE	1988	1987	no genre	Female
18471	['Tom Wolfe']	1988-01-03	set(['New York (State)--New York', 'Stockbrokers', 'Bankers', 'Film novelizations', 'Traffic accidents', 'Satire, American', 'American fiction', 'City and town life'])	[{'gender': 'Male', 'viaf': '119067502', 'name': 'Tom Wolfe'}]	600031	3	9	THE BONFIRE OF THE VANITIES	1988	1978	no genre	Male
18472	['Garrison Keillor']	1988-01-03	set(['Lake Wobegon (Minn. : Imaginary place)', 'American fiction', 'Minnesota', 'City and town life', 'Humorous stories, American'])	[{'gender': 'Male', 'viaf': '79812213', 'name': 'Garrison Keillor'}]	395277	4	14	LEAVING HOME	1988	1987	no genre	Male
18473	['tten', 'illustrated by Chris Van Allsburg']	1988-01-03	set([])	[]		5	11	THE POLAR EXPRESS	1988	[]	needs label	NA
18474	['Tom Clancy']	1988-01-03	set(['Intelligence service', 'Irish Republican Army', 'Terrorists', 'Spies', 'United States', 'Ryan, Jack, Sr. (Fictitious character)', 'Terrorism', 'Spy stories'])	[{'gender': 'Male', 'viaf': '108842694', 'name': 'Tom Clancy'}]	543675	6	23	PATRIOT GAMES	1988	1987	no genre	Male
18475	['Scott Turow']	1988-01-03	set(['Detective and mystery stories', 'Trials (Murder)', 'Fictions (Law)', 'Kindle County (Imaginary place)', 'American literature', 'Spanish fiction', 'Legal stories', 'American fiction', 'New Trier High School (Winnetka, Ill.)', 'Presumption of innocence'])	[{'gender': 'Male', 'viaf': '106980468', 'name': 'Scott Turow'}]	2830120222	7	28	PRESUMED INNOCENT	1988	1191	mystery	Male
18476	['Arthur C. Clarke']	1988-01-03	set(['Extraterrestrial beings', 'Interplanetary voyages', 'Science fiction', 'Twenty-first century', 'Space vehicles', 'English fiction', 'Outer space', 'Exploration of outer space', 'Human-alien encounters'])	[{'gender': 'Male', 'viaf': '27062571', 'name': 'Arthur C. Clarke'}]	3332846013	8	5	2061: Odyssey Three	1988	1987	no genre	Male
18477	['John Jakes']	1988-01-03	set(['United States', 'War--Causes', 'American Civil War (1861-1865)', 'Historical fiction'])	[{'gender': 'Male', 'viaf': '99848788', 'name': 'John Jakes'}]	11629980	9	14	HEAVEN AND HELL	1988	1985	no genre	Male
18478	['Toni Morrison']	1988-01-03	set(['African Americans--Social conditions', 'Infanticide', 'Girls', 'Slavery', 'Women slaves', 'United States', 'African American women', 'Ohio', 'African Americans--Social life and customs', 'African Americans'])	[{'gender': 'Female', 'viaf': '109406177', 'name': 'Toni Morrison'}]	989794	10	16	BELOVED	1988	1987	no genre	Female
18479	['Edward Rutherfurd']	1988-01-03	set(['Cities and towns', 'England--Salisbury Plain', 'England--Salisbury Region', 'England--Salisbury', 'English fiction'])	[{'gender': 'Male', 'viaf': '34666', 'name': 'Edward Rutherfurd'}]	2452450401	11	20	SARUM	1988	1987	no genre	Male
18480	['Jonathan Winters']	1988-01-03	set(['Humorous stories', 'Short stories', 'Anecdotes'])	[{'gender': 'Male', 'viaf': '100917153', 'name': 'Jonathan Winters'}]	370022346	12	2	WINTERS' TALES	1988		no genre	Male
18481	['James A. Michener']	1988-01-03	set(['Art', 'Pennsylvania', 'Military ethics', 'United States', 'Iran-Contra Affair (1985-1990)', 'James A. Michener Art Museum', 'Art, American', 'Pennsylvania--Doylestown', 'Constitution (United States)'])	[{'gender': 'Male', 'viaf': '34460537', 'name': 'James A. Michener'}]	20813825	13	17	LEGACY	1988	1987	no genre	Male
18482	['Stephen King']	1988-01-03	set(['Authors and readers', 'Colorado', 'Novelists, American', 'Fans (Persons)', 'Novelists', 'Horror tales'])	[{'gender': 'Male', 'viaf': '97113511', 'name': 'Stephen King'}]	768970	14	29	MISERY	1988	1964	no genre	Male
18483	['Kurt Vonnegut']	1988-01-03	set(['Artists', 'Autobiography--Authorship', 'New York (State)--Long Island'])	[{'gender': 'Male', 'viaf': '71398958', 'name': 'Kurt Vonnegut'}]	133007	15	10	BLUEBEARD	1988	1985	no genre	Male
18484	['Len Deighton']	1988-01-03	set(['Politics and government', 'Families', 'Germany', 'Germany--Berlin', 'English fiction'])	[{'gender': 'Male', 'viaf': '273905397', 'name': 'Len Deighton'}]	17750132	16	1	WINTER	1988	1984	no genre	Male
18485	['Stephen King']	1983-05-29	set(['Automobiles', 'Triangles (Interpersonal relations)', 'Short stories', 'Teenagers', 'Horror tales'])	[{'gender': 'Male', 'viaf': '97113511', 'name': 'Stephen King'}]	1876700431	2	8	CHRISTINE	1983	1978	no genre	Male
18486	['Stephen R. Donaldson']	1983-05-29	set(['Fantasy fiction, American', 'Covenant, Thomas (Fictitious character)', 'Science fiction, American', 'American fiction', 'Science fiction'])	[{'gender': 'Male', 'viaf': '46779207', 'name': 'Stephen R. Donaldson'}]	614270	3	8	WHITE GOLD WIELDER	1983	1983	fsf	Male
18487	['Nora Ephron']	1983-05-29	set(['Jewish women', 'Man-woman relationships', 'Families', 'Married people', 'American literature', 'United States', 'Food writers', 'Adultery', 'Marriage', 'Women', 'Domestic fiction', 'Pregnant women'])	[{'gender': 'Female', 'viaf': '99171166', 'name': 'Nora Ephron'}]	2964706	4	5	HEARTBURN	1983	1983	no genre	Female
18488	['Barbara Taylor Bradford']	1983-05-29	set(['Actresses', 'Romance fiction', 'Motion picture actors and actresses', 'New Hampshire', 'English fiction', 'New York (State)--New York', 'Families', 'Women novelists'])	[{'gender': 'Female', 'viaf': '111572561', 'name': 'Barbara Taylor Bradford'}]	455454	5	9	VOICE OF THE HEART	1983	1978	no genre	Female
18489	['Norman Mailer']	1983-05-29	set(['Egypt', 'Reincarnation', 'Ramses II, King of Egypt', 'Mythology, Egyptian'])	[{'gender': 'Male', 'viaf': '7393743', 'name': 'Norman Mailer'}]	3272164	6	6	ANCIENT EVENINGS	1983	1983	no genre	Male
18490	['Trevanian']	1983-05-29	set(['Physicians', 'France--Pays Basque', u'France--Salies-de-B\xe9arn', 'Family secrets'])	[{'gender': 'Male', 'viaf': '287877924', 'name': 'Trevanian'}]	2842006	7	3	THE SUMMER OF KATYA	1983	1983	no genre	Male
18491	['Dick Francis']	1983-05-29	set(['Sports--Corrupt practices', 'Detective and mystery stories', 'England', 'Horse racing', 'Bankers', 'English language', 'Race horses--Breeding', 'Attempted murder'])	[{'gender': 'Male', 'viaf': '24601518', 'name': 'Dick Francis'}]	546704	8	9	BANKER	1983	1982	no genre	Male
18492	"[""Louis L'Amour""]"	1983-05-29	set(['California--Los Angeles', 'Frontier and pioneer life', 'Indians of North America', 'Western stories', 'California, Southern', 'California', 'Historical fiction', 'Orphans'])	"[{'gender': 'Male', 'viaf': '121561792', 'name': ""Louis L'Amour""}]"	57740559	9	9	THE LONESOME GODS	1983	1971	adventure	Male
18493	['John Gardner']	1983-05-29	set(['Bond, James (Fictitious character)', 'Intelligence officers', 'Intelligence service', 'Great Britain', 'Spy stories, English', 'Spy stories'])	[{'gender': 'Male', 'viaf': '110081076', 'name': 'John Gardner'}]	111264052	10	7	ICEBREAKER	1983	1220	spy_and_politics	Male
18494	['Jean M. Auel']	1983-05-29	set(['Europe', 'Man-woman relationships', 'Prehistoric peoples', 'Ayla (Fictitious character)', 'Women, Prehistoric', 'Primitive societies', 'Women', 'Domestication', 'Glacial epoch'])	[{'gender': 'Female', 'viaf': '79487364', 'name': 'Jean M. Auel'}]	196727430	11	39	THE VALLEY OF HORSES	1983	1980	no genre	Female
18495	['Joseph Wambaugh']	1983-05-29	set(['Police', 'California--Los Angeles', 'Crime and criminals', 'Murder--Investigation', 'Los Angeles (Calif.). Police Department'])	[{'gender': 'Male', 'viaf': '110352691', 'name': 'Joseph Wambaugh'}]	435440	12	12	THE DELTA STAR	1983	1982	no genre	Male
18496	['James A. Michener']	1983-05-29	set(['Astronauts', 'United States', 'Exploration of outer space', 'Spanish language', 'Outer space', 'Space flight'])	[{'gender': 'Male', 'viaf': '34460537', 'name': 'James A. Michener'}]	20228058	13	35	SPACE	1983	1982	no genre	Male
18497	['Rita Mae Brown']	1983-05-29	set(['Tennis players', 'Lesbians'])	[{'gender': 'Female', 'viaf': '112278657', 'name': 'Rita Mae Brown'}]	3427519	14	1	SUDDEN DEATH	1983	1983	no genre	Female
18498	['Marion Zimmer Bradley']	1983-05-29	set(['Avalon (Legendary place)', 'Brothers', 'Britons--Kings and rulers', 'Kings and rulers', 'Arthurian romances', 'Great Britain', 'Arthurian romances--Adaptations', 'Arthur, King'])	[{'gender': 'Female', 'viaf': '66464308', 'name': 'Marion Zimmer Bradley'}]	794898597	15	13	THE MISTS OF AVALON	1983	1979	no genre	Female
18510	['Eric Van Lustbader']	1984-10-21	set(['Linnear, Nicholas (Fictitious character)', 'Asia', 'Fiction', 'Ninja', 'Japan', 'Spy stories'])	[{'gender': 'Male', 'viaf': '99512281', 'name': 'Eric Van Lustbader'}]	2910976	13	9	THE MIKO	1984	1984	no genre	Male
18511	['Robert Ludlum']	1984-10-21	set(['Europe', 'Murder', 'Conspiracies', 'Conspiracy', 'Adventure stories', 'Legal stories', 'American fiction', 'Terrorism', 'Political crimes and offenses'])	[{'gender': 'Male', 'viaf': '109373898', 'name': 'Robert Ludlum'}]	52877487	14	33	THE AQUITAINE PROGRESSION	1984	1981	legal	Male
18512	['Dr. Seuss']	1984-10-21	"set(['War stories', 'Picture books', ""Children's stories, American"", 'War poetry', 'Weapons', 'Stories in rhyme', 'Arms race'])"	[{'gender': 'Male', 'viaf': '92567206', 'name': 'Dr. Seuss'}]	879932	15	32	THE BUTTER BATTLE BOOK	1984	1984	no genre	Male
18514	['John D. MacDonald']	1981-05-24	set(['Florida--Fort Lauderdale', 'Private investigators', 'Detective and mystery stories', 'Florida', 'McGee, Travis (Fictitious character)'])	[{'gender': 'Male', 'viaf': '7393665', 'name': 'John D. MacDonald'}]	402615	3	5	FREE FALL IN CRIMSON	1981	1981	no genre	Male
18515	['Frank Herbert']	1981-05-24	set(['Science fiction, American', 'Dune (Imaginary place)', 'Science fiction'])	[{'gender': 'Male', 'viaf': '59083797', 'name': 'Frank Herbert'}]	4042268	4	5	GOD EMPEROR OF DUNE	1981	1981	fsf	Male
18516	['Dick Francis']	1981-05-24	set(['Detective and mystery stories', 'England', 'Race horses', 'Horse racing', 'English language', 'Photographers', 'Horse racing--Corrupt practices', 'English fiction', 'Jockeys'])	[{'gender': 'Male', 'viaf': '24601518', 'name': 'Dick Francis'}]	473085	5	7	REFLEX	1981	0720	no genre	Male
18517	['Toni Morrison']	1981-05-24	set(['Caribbean Area', 'African American families', 'Michigan', 'Married people', 'African Americans--Race identity', 'Interpersonal relations', 'Fugitives from justice', 'African American women', 'Race relations', 'American fiction', 'African Americans', 'Retirees', 'American literature--African American authors'])	[{'gender': 'Female', 'viaf': '109406177', 'name': 'Toni Morrison'}]	461727	6	6	TAR BABY	1981	1981	no genre	Female
18518	['D.M. Thomas']	1981-05-24	set(['Psychological fiction', u'Ferenczi, S\xe1ndor, 1873-1933', 'Psychotherapist and patient', 'Freud, Sigmund, 1856-1939', 'Austria', 'Hungary', 'Holocaust, Jewish--(1939-1945)', 'Psychoanalysts'])	[{'gender': 'Male', 'viaf': '19684961', 'name': 'D.M. Thomas'}]	327296	7	5	THE WHITE HOTEL	1981	1981	no genre	Male
18519	['Kit Williams']	1981-05-24	"set(['Riddles', 'Picture puzzles', 'Literary recreations', 'Fantasy fiction', 'Fantasy', 'Treasure troves', ""Children's stories""])"	[{'gender': 'Male', 'viaf': '52272192', 'name': 'Kit Williams'}]	75479	8	19	MASQUERADE	1981	1979	no genre	Male
18520	['Gore Vidal']	1981-05-24	set(['Iran', 'Greece--Athens'])	[{'gender': 'Male', 'viaf': '98281411', 'name': 'Gore Vidal'}]	196658948	9	8	CREATION	1981	1981	no genre	Male
18521	['Len Deighton']	1981-05-24	set(['Hitler, Adolf, 1889-1945', 'War stories', 'Detective and mystery stories', 'Conspiracies', 'Intelligence officers', 'World War (1939-1945)', 'English fiction', 'Motion picture industry'])	[{'gender': 'Male', 'viaf': '273905397', 'name': 'Len Deighton'}]	463150	10	2	XPD	1981	1981	war	Male
18522	['James A. Michener']	1981-05-24	set(['South Africa', 'Fiction'])	[{'gender': 'Male', 'viaf': '34460537', 'name': 'James A. Michener'}]	20417643	11	31	THE COVENANT	1981	1980	no genre	Male
18523	['Fred Mustard Stewart']	1981-05-24	set(['Families', 'Generations'])	[{'gender': 'Male', 'viaf': '113891129', 'name': 'Fred Mustard Stewart'}]	67922063	12	14	CENTURY	1981	1981	no genre	Male
18524	['John Gardner']	1981-05-24	set(['Bond, James (Fictitious character)', 'Intelligence officers', 'Intelligence service', 'Great Britain', 'English fiction', 'Spy stories'])	[{'gender': 'Male', 'viaf': '110081076', 'name': 'John Gardner'}]	3901091344	13	1	LICENSE RENEWED	1981	1981	no genre	Male
18525	['Mary Gordon']	1981-05-24	set(['United States', 'Women', 'Fiction', 'Authors, American', 'English fiction'])	[{'gender': 'Female', 'viaf': '110431409', 'name': 'Mary Gordon'}]	462871	14	11	THE COMPANY OF WOMEN	1981		no genre	Female
18526	['Eric Van Lustbader']	1981-05-24	set(['Motion picture industry', 'English fiction'])	[{'gender': 'Male', 'viaf': '99512281', 'name': 'Eric Van Lustbader'}]	196507798	15	1	SIRENS	1981		no genre	Male
18527	['John Irving']	1985-06-23	set(['Physicians', 'Motion picture plays', 'Orphans', 'Abortion', 'Young men', 'Orphanages', 'Moral conditions', 'Maine'])	[{'gender': 'Male', 'viaf': '108238891', 'name': 'John Irving'}]	48530	2	5	THE CIDER HOUSE RULES	1985	1900	no genre	Male
18528	"[""Louis L'Amour""]"	1985-06-23	set(['Sackett family (Fictitious characters)', 'Frontier and pioneer life', 'United States', 'Kickapoo Indians', 'Natchez Indians', 'Pioneers', 'Explorers', 'Indian women'])	"[{'gender': 'Male', 'viaf': '121561792', 'name': ""Louis L'Amour""}]"	51206195	3	5	JUBAL SACKETT	1985	1961	no genre	Male
18529	['Tom Clancy']	1985-06-23	set(['United States', 'Nuclear submarines', 'Fleet ballistic missile weapons systems', 'Intelligence service', 'Ryan, Jack, Sr. (Fictitious character)', 'Defectors', 'Submarines (Ships)', 'Spy stories', 'Soviet Union'])	[{'gender': 'Male', 'viaf': '108842694', 'name': 'Tom Clancy'}]	384119	4	14	THE HUNT FOR RED OCTOBER	1985	1894	no genre	Male
18530	['Barbara Taylor Bradford']	1985-06-23	set(['Rich people', 'Man-woman relationships', 'Romance fiction', 'Bradford, Barbara Taylor, 1933-', 'Fiction', 'United States', 'Great Britain', 'Television mini-series', 'Domestic fiction', 'Businesswomen', 'Power (Social sciences)'])	[{'gender': 'Female', 'viaf': '111572561', 'name': 'Barbara Taylor Bradford'}]	3768474838	5	6	HOLD THE DREAM	1985	1984	romance	Female
18531	['Sidney Sheldon']	1985-06-23	set(['Organized crime', 'Detective and mystery stories', 'Louisiana--New Orleans', 'Ex-convicts', 'Pennsylvania--Philadelphia', 'Fiction', 'English fiction', 'Revenge', 'American fiction', 'Female offenders'])	[{'gender': 'Male', 'viaf': '100259983', 'name': 'Sidney Sheldon'}]	264092	6	22	IF TOMORROW COMES	1985	1984	no genre	Male
18532	['Richard Bachman']	1985-06-23	set(['Allegories', 'Blessing and cursing', 'Paranormal fiction', 'Weight loss', 'Romanies', 'Legal stories', 'Horror tales'])	[{'gender': 'Male', 'viaf': '14790462', 'name': 'Richard Bachman'}]	423737	7	17	THINNER	1985	1968	legal	Male
18533	['Frank Herbert']	1985-06-23	set(['Science fiction', 'Dune (Imaginary place)', 'Science fiction, American'])	[{'gender': 'Male', 'viaf': '59083797', 'name': 'Frank Herbert'}]	323111346	8	10	CHAPTERHOUSE: DUNE	1985	1979	fsf	Male
18534	['Herman Wouk']	1985-06-23	set(['Jewish men', 'Washington (D.C.)', 'Legal stories', 'Watergate Affair (1972-1974)', 'English fiction'])	[{'gender': 'Male', 'viaf': '17231124', 'name': 'Herman Wouk'}]	196161091	9	14	INSIDE,  OUTSIDE	1985		no genre	Male
18535	['Erich Segal']	1985-06-23	set([])	[{'gender': 'Male', 'viaf': '103647202', 'name': 'Erich Segal'}]	1806386615	10	9	THE CLASS	1985	1985	needs label	Male
18536	['Colleen McCullough']	1985-06-23	set(['Psychological fiction', 'Employees', 'United States', 'Future life', 'English fiction', 'Clinical psychologists', 'Australian fiction'])	[{'gender': 'Female', 'viaf': '113178953', 'name': 'Colleen McCullough'}]	1807162976	11	7	A CREED FOR THE THIRD MILLENNIUM	1985	1985	no genre	Female
18537	['Danielle Steel']	1985-06-23	set(['California--Los Angeles--Hollywood', 'Families', 'Married people', 'Spanish fiction', 'United States', 'Motion picture actors and actresses', 'Sisters', 'Motion picture industry', 'Women motion picture producers and directors'])	[{'gender': 'Female', 'viaf': '100238676', 'name': 'Danielle Steel'}]	700557	12	16	FAMILY ALBUM	1985	1985	no genre	Female
18538	['Michael Korda']	1985-06-23	set(['Motion picture industry', 'Women', 'India', 'Motion picture actors and actresses', 'English fiction'])	[{'gender': 'Male', 'viaf': '101734059', 'name': 'Michael Korda'}]	4139824	13	10	QUEENIE	1985	1985	no genre	Male
18539	['John D.  MacDonald']	1985-06-23	set(['Drug traffic', 'Private investigators', 'Detective and mystery stories', 'Florida', 'Florida--Fort Lauderdale', 'Theft', 'McGee, Travis (Fictitious character)'])	[{'gender': 'Male', 'viaf': '7393665', 'name': 'John D.  MacDonald'}]	3909798	14	12	THE LONELY SILVER RAIN	1985	1964	no genre	Male
18540	['Larry Niven', 'Jerry Pournelle']	1985-06-23	set(['Science fiction', 'Life on other planets', 'Science fiction, American'])	[{'gender': 'Male', 'viaf': '36922585', 'name': 'Larry Niven'}, {'gender': 'Male', 'viaf': '112519589', 'name': 'Jerry Pournelle'}]	614263	15	1	FOOTFALL	1985		fsf	Male
18541	['Judith Krantz']	1986-05-11	set(['Man-woman relationships', 'New York (State)--New York', 'New York (State)--New York--Manhattan', 'Publishers and publishing', 'Romance fiction', 'Women'])	[{'gender': 'Female', 'viaf': '121647919', 'name': 'Judith Krantz'}]	5228369	2	3	I'LL TAKE MANHATTAN	1986	1986	no genre	Female
18542	['Robert Ludlum']	1986-05-11	set(['Amnesiacs', 'Terrorists', 'Assassination', 'United States. Central Intelligence Agency', 'China--Kowloon', 'Bourne, Jason (Fictitious character)', 'Adventure stories', 'English fiction', 'China--Hong Kong', 'Carlos, the Jackal'])	[{'gender': 'Male', 'viaf': '109373898', 'name': 'Robert Ludlum'}]	52902708	3	10	THE BOURNE SUPREMACY	1986	1986	no genre	Male
18543	['Jean M. Auel']	1986-05-11	set(['Europe', 'Prehistoric peoples', 'Glacial epoch', 'Ayla (Fictitious character)', 'Women'])	[{'gender': '', 'viaf': '', 'name': 'Jean M. Auel'}]	530224	4	25	THE MAMMOTH HUNTERS	1986	1985	no genre	
18544	['Garrison Keillor']	1986-05-11	set(['Short stories, American', 'Radio programs', 'City and town life', 'Minnesota', 'Books on CD', 'Country life', 'American wit and humor', 'Lake Wobegon (Minn. : Imaginary place)'])	[{'gender': 'Male', 'viaf': '79812213', 'name': 'Garrison Keillor'}]	594387	5	37	LAKE WOBEGON DAYS	1986	1985	no genre	Male
18545	['Dick Francis']	1986-05-11	set(['Kidnapping', 'England', 'Horse racing', 'Suspense fiction', 'Twins', 'Detective and mystery stories, English'])	[{'gender': 'Male', 'viaf': '24601518', 'name': 'Dick Francis'}]	639468	6	8	BREAK IN	1986	1985	mystery	Male
18546	['Ken Follett']	1986-05-11	set(['Afghanistan', 'Iran', 'Soviet Occupation of Afghanistan (1979-1989)', 'Scotland', 'MP3 (Audio coding standard)', 'Guerrillas', 'Triangles (Interpersonal relations)', 'Security consultants', 'Suspense fiction', 'Adventure stories', 'Pharmaceutical industry', 'Diplomatic relations', 'United States', 'Spy stories', 'Enemies'])	[{'gender': 'Male', 'viaf': '64005683', 'name': 'Ken Follett'}]	348506	7	15	LIE DOWN WITH LIONS	1986	1985	spy_and_politics	Male
18547	['Margaret Atwood']	1986-05-11	"set(['Man-woman relationships', 'Fantasy fiction, Canadian', 'Fiction', 'Science fiction', 'Misogyny', 'Science fiction, Canadian', 'Dystopias', 'Canadian fiction', 'Dystopias in literature', 'Audiotapes', ""Handmaid's tale (Atwood, Margaret)"", 'Women'])"	[{'gender': 'Female', 'viaf': '109322990', 'name': 'Margaret Atwood'}]	140786839	8	11	THE HANDMAID'S TALE	1986	1985	fsf	Female
18548	['Patti Davis with Maureen Strange Foster']	1986-05-11	set([])	[]		9	7	HOME FRONT	1986	[]	needs label	NA
18549	['Cynthia Freeman']	1986-05-11	set(['Romance fiction', 'Married people', 'Social classes', 'United States', 'Epic literature', 'Businesswomen'])	[{'gender': 'Female', 'viaf': '82775916', 'name': 'Cynthia Freeman'}]	5505250	10	7	SEASONS OF THE HEART	1986		no genre	Female
18550	['John Mortimer']	1986-05-11	set(['England', 'Inheritance and succession', 'Politicians', 'Rapstone Valley (England : Imaginary place)', 'Clergy', 'English fiction', 'Manners and customs'])	[{'gender': 'Male', 'viaf': '105101136', 'name': 'John Mortimer'}]	179426173	11	2	PARADISE POSTPONED	1986	1985	no genre	Male
18551	['Terry Brooks']	1986-05-11	"set(['Mystery', 'Holiday, Ben (Fictitious character)', 'Magic', 'Fantasy fiction', 'Magic Kingdom of Landover (Imaginary place)', 'Fantasy', 'Wizards', ""Children's stories""])"	[{'gender': 'Male', 'viaf': '73911214', 'name': 'Terry Brooks'}]	683179	12	1	MAGIC KINGDOM FOR SALE: SOLD!	1986	1986	no genre	Male
18552	['Anne McCaffrey']	1986-05-11	set(['Pern (Imaginary place)', 'Science fiction', 'Space colonies', 'Dragons', 'Life on other planets'])	[{'gender': 'Female', 'viaf': '110586836', 'name': 'Anne McCaffrey'}]	683188	13	6	NERILKA'S STORY	1986	1986	no genre	Female
18553	['Christopher Buckley']	1986-05-11	set(['United States', 'Washington (D.C.)', 'Politicians'])	[{'gender': 'Male', 'viaf': '66529495', 'name': 'Christopher Buckley'}]	5819965	14	3	THE WHITE HOUSE MESS	1986		no genre	Male
18554	['Dean R. Koontz']	1986-05-11	set(['Strangers', 'Koontz, Dean R. (Dean Ray), 1945-', 'Fear', 'Horror tales, American', 'Horror tales'])	[{'gender': 'Male', 'viaf': '110880758', 'name': 'Dean R. Koontz'}]	1066856	15	1	STRANGERS	1986	1986	horror	Male
18555	['Sidney Sheldon']	1982-11-21	set(['Diamond industry and trade', 'Spanish fiction', 'Suspense fiction', 'Businesswomen', 'Businesspeople'])	[{'gender': 'Male', 'viaf': '100259983', 'name': 'Sidney Sheldon'}]	2870662	2	12	MASTER OF THE GAME	1982	0920	no genre	Male
18556	['Jean M. Auel']	1982-11-21	set(['Europe', 'Man-woman relationships', 'Prehistoric peoples', 'Ayla (Fictitious character)', 'Women, Prehistoric', 'Primitive societies', 'Women', 'Domestication', 'Glacial epoch'])	[{'gender': 'Female', 'viaf': '79487364', 'name': 'Jean M. Auel'}]	196727430	3	12	THE VALLEY OF HORSES	1982	1980	no genre	Female
18557	['William Kotzwinkle']	1982-11-21	set(['Human-alien encounters', 'Single-parent families', 'Life on other planets'])	[{'gender': 'Male', 'viaf': '76317924', 'name': 'William Kotzwinkle'}]	670548950	4	13	E.T. THE EXTRA-TERRESTRIAL STORYBOOK	1982	1982	no genre	Male
