This	May 5, 1963	Last	Weeks
Week	Fiction	Week	On List
""			
1	RAISE HIGH THE ROOF BEAM, CARPENTERS, by J.D. Salinger	1	12
""			
2	SEVEN DAYS IN MAY, by Fletcher Knebel and Charles W. Bailey II.	2	32
""			
3	THE GLASS BLOWERS, by Daphne du Maurier	3	5
""			
4	THE SAND PEBBLES, by Richard McKenna.	4	16
""			
5	GRANDMOTHER AND THE PRIESTS, by Taylor Caldwell.	6	5
""			
6	THE MOONSPINNERS, by Mary Stewart.	5	17
""			
7	FAIL-SAFE, by Eugene Burdick and Harvey Wheeler.	8	27
""			
8	THE TIN DRUM, by Gunter Grass.	--	2
""			
9	THE MOONFLOWER VINE, by Jetta Carleton	7	11
""			
10	THE CENTAUR, by John Updike	10	8
