This	April 7, 1963	Last	Weeks
Week	Fiction	Week	On List
""			
1	RAISE HIGH THE ROOF BEAM, CARPENTERS, by J.D. Salinger	1	8
""			
2	SEVEN DAYS IN MAY, by Fletcher Knebel and Charles W. Bailey II.	2	28
""			
3	THE SAND PEBBLES, by Richard McKenna.	3	12
""			
4	FAIL-SAFE, by Eugene Burdick and Harvey Wheeler.	4	22
""			
5	THE MOONSPINNERS, by Mary Stewart.	6	13
""			
6	THE MOONFLOWER VINE, by Jetta Carleton	5	7
""			
7	TRIUMPH, by Philip Wylie.	7	5
""			
8	$100 MISUNDERSTANDING, by Robert Gover.	--	16
""			
9	THE CENTAUR, by John Updike	10	5
""			
10	A SHADE OF DIFFERENCE, by Allen Drury.	--	25
