This	April 14, 1963	Last	Weeks
Week	Fiction	Week	On List
""			
1	RAISE HIGH THE ROOF BEAM, CARPENTERS, by J.D. Salinger	1	9
""			
2	SEVEN DAYS IN MAY, by Fletcher Knebel and Charles W. Bailey II.	2	29
""			
3	THE SAND PEBBLES, by Richard McKenna.	3	13
""			
4	THE GLASS BLOWERS, by Daphne du Maurier	--	2
""			
5	FAIL-SAFE, by Eugene Burdick and Harvey Wheeler.	4	24
""			
6	THE MOONFLOWER VINE, by Jetta Carleton	6	8
""			
7	THE MOONSPINNERS, by Mary Stewart.	5	14
""			
8	TRIUMPH, by Philip Wylie.	7	6
""			
9	GRANDMOTHER AND THE PRIESTS, by Taylor Caldwell.	--	2
""			
10	THE TIN DRUM, by Gunter Grass.	--	1
