This	March 31, 1963	Last	Weeks
Week	Fiction	Week	On List
""			
1	RAISE HIGH THE ROOF BEAM, CARPENTERS, by J.D. Salinger	1	7
""			
2	SEVEN DAYS IN MAY, by Fletcher Knebel and Charles W. Bailey II.	2	27
""			
3	THE SAND PEBBLES, by Richard McKenna.	3	11
""			
4	FAIL-SAFE, by Eugene Burdick and Harvey Wheeler.	4	21
""			
5	THE MOONFLOWER VINE, by Jetta Carleton	6	6
""			
6	THE MOONSPINNERS, by Mary Stewart.	5	12
""			
7	TRIUMPH, by Philip Wylie.	7	4
""			
8	THE GLASS BLOWERS, by Daphne du Maurier	--	1
""			
9	GRANDMOTHER AND THE PRIESTS, by Taylor Caldwell.	--	1
""			
10	THE CENTAUR, by John Updike	9	4
